,Cum_ret,Market_cap,Gap,EAR,Intraday,Revision,Rating,Vol,Distance_high,RSI,AUTOR,MA50,MA150,PE,PE_premium,Sector
"('CPR IM', '11/Nov/2015', '01/Mar/2016', '01/Mar/2016')",0.06626437400297536,4646.3999,-0.4121550936941719,0.4121550936941719,0.8243101873883438,-0.0016233766233766248,0.41377847031754855,0.015259566780381541,1.0,48.026499297386145,0.4251370142456207,5.3790756237861,7.494271231460607,23.845540220337398,0.3339451560031781,Food & Beverage
"('CPR IM', '04/Aug/2015', '11/Nov/2015', '11/Nov/2015')",0.11852192189944954,4280.4959,0.0,-0.5222776928994535,-0.5222776928994535,0.0036289709682322587,-0.5259066638676857,0.014182890650153535,0.9651898734177217,50.42647220337004,-0.10133004184811055,4.128062727345089,8.301887539259807,22.488652516000595,0.2919196660114205,Food & Beverage
"('CPR IM', '12/May/2015', '04/Aug/2015', '04/Aug/2015')",-0.0025286401121088486,4155.6239,-0.14204706153678182,0.4734902051226011,0.6155372666593829,0.014345539540319452,0.4591446655822816,0.014862604551385848,0.9137577002053389,45.91556982718762,1.9454570081956462,3.8726051416998946,13.541601580597614,22.298866198209055,0.30956987148401316,Food & Beverage
"('CPR IM', '10/Mar/2015', '12/May/2015', '12/May/2015')",0.13601935022350964,3595.1519,0.6285162376341757,1.5712905940854394,0.9427743564512636,0.04861111111111096,1.5226794829743284,0.010450238364409488,1.0,51.97475452733643,1.3379784914311796,5.392746073781839,7.013229684328927,21.03808114855967,0.2550166900788706,Food & Beverage
"('CPR IM', '12/Nov/2014', '10/Mar/2015', '10/Mar/2015')",-0.028925393802954447,3057.9119,0.05606991720990759,-3.5884747014343086,-3.644544618644216,-0.03876276395360369,-3.549711937480705,0.01596676421628196,0.06854838709677415,45.99216637793843,-1.7534474751803406,-3.9384587470110173,-8.36363889752877,17.759260172870846,0.08256285264664442,Food & Beverage
"('CPR IM', '05/Aug/2014', '12/Nov/2014', '12/Nov/2014')",-0.05924334336599246,3357.0239,-0.34866341466998124,-0.6973268293399535,-0.34866341466997225,-0.01776309710801073,-0.6795637322319428,0.012298866141668554,0.09859154929577506,39.08013812022712,-0.08107495970133258,-5.086828967196165,-4.130345026945557,19.404331005277573,0.21130342875774866,Food & Beverage
"('CPR IM', '13/May/2014', '05/Aug/2014', '05/Aug/2014')",0.03035709528751518,3467.3759,0.6094835588841468,-2.8645727267554815,-3.4740562856396284,-0.0287487117828925,-2.835824014972589,0.013221058402940012,0.461538461538461,32.85739839592958,-0.8542851937443516,-1.028659425253978,-1.664356106026113,20.417861676961905,0.3112727298090434,Food & Beverage
"('CPR IM', '12/Mar/2014', '13/May/2014', '13/May/2014')",0.017052947214337477,3438.3359,0.8635475702544734,-3.254910072497622,-4.118457642752095,-0.11180124223602476,-3.143108830261597,0.012209391200448819,0.2747252747252747,39.136989458861514,0.574250390404316,-2.365941517880609,-3.358705790052484,18.437428550896428,0.20905182462896565,Food & Beverage
"('CPR IM', '14/Nov/2013', '12/Mar/2014', '12/Mar/2014')",-0.03280613349982198,3606.7679,0.7440339402378321,-2.8273289729037705,-3.5713629131416025,-0.04215871516296646,-2.785170257740804,0.010500193038912602,0.6382978723404257,42.330254716598105,-1.699444123925311,-2.833535569972699,1.9001992552282385,18.33215317876802,0.24695788244057915,Food & Beverage
"('CPR IM', '06/Aug/2013', '14/Nov/2013', '14/Nov/2013')",-0.005953944832423952,3589.3439,0.0,2.9298608561319828,2.9298608561319828,-0.021989586795169987,2.9518504429271526,0.01408959032576308,0.818181818181818,60.627481001004924,1.2022208429323753,5.921533962745931,4.006469713987778,18.52187428081764,0.29508469348961364,Food & Beverage
"('CPR IM', '13/May/2013', '06/Aug/2013', '06/Aug/2013')",-0.025611081580254713,3508.0319,-0.11804908558338084,-1.475613569792297,-1.357564484208916,-0.042170788770053515,-1.4334427810222434,0.013740555534204982,0.597315436241611,56.82023966523163,-0.17954888406004105,-0.14367415547064205,1.2208657260760007,18.00336391411074,0.28212222965050615,Food & Beverage
"('CPR IM', '07/Mar/2013', '13/May/2013', '13/May/2013')",0.03939016745023527,3415.1039,0.20597895976750633,-2.1971089041867984,-2.4030878639543047,-0.0414201183431953,-2.155688785843603,0.012056783427842955,0.39705882352941185,48.6190044645977,0.12540469890482214,0.46998571692798286,-0.1612614198862332,17.183990284259423,0.24017117704976187,Food & Beverage
"('CPR IM', '12/Nov/2012', '07/Mar/2013', '07/Mar/2013')",-0.07552768387852182,3403.4879,-0.12529677401972367,-4.573332251719974,-4.448035477700251,-0.052708030711765864,-4.520624221008209,0.012820966185117777,0.5528169014084509,31.87905623465879,-1.0886429395593005,-3.5330768153469005,2.5458098280621564,16.838878112413727,0.23377560345037418,Food & Beverage
"('CPR IM', '03/Aug/2012', '12/Nov/2012', '12/Nov/2012')",0.039749977637052014,3296.0399,1.0268579851855437,2.11789459444518,1.0910366092596362,-0.0031446540880503172,2.12103924853323,0.014139303068982445,0.952380952380952,52.40938841355299,-1.122121148160794,4.555979459207281,5.135610375223236,16.683290141921706,0.22965712008549377,Food & Beverage
