,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner,listing_price,announce_price,discount,firstday_return,Broker_core
SF SS,2019-06-11,2019-06-12,2019-06-11,2019-06-12,SF SS,Stillfront Group AB,52.9868,2.0807,240.4,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S",665.397,5.449254036,5.657240391,665.397,1.5042114440741712,"['Carnegie', 'Swedbank']",255.6687,262.5,-0.08419047619047615,0.0635137271214643,False
LHN SW,2019-06-11,2019-06-12,2019-06-11,2019-06-12,LHN SW,LafargeHolcim Ltd,758.712,15.45,48.7,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",29702.0,-1.293636084,0.6981503963,29702.0,102.75404934966963,"['Goldman Sachs', 'UBS']",48.5177,50.32,-0.032193958664546884,-0.0037433264887064555,True
AJB LN,2019-06-06,2019-06-07,2019-06-06,2019-06-07,AJB LN,AJ Bell PLC,183.532,38.0,380.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1973.08,10.0,5.263157845,1973.08,4.1618085850977655,['Numis'],380.7197,400.0,-0.050000000000000044,0.0018939473684209673,False
BFSA GR,2019-06-05,2019-06-06,2019-06-05,2019-06-06,BFSA GR,Befesa SA,242.571,6.3502,34.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1308.03,4.117647171,3.823529482,1308.03,2.4021725387492228,"['Citi', 'JP Morgan']",35.472,35.0,-0.02857142857142858,0.04329411764705893,True
RESURS SS,2019-06-04,2019-06-05,2019-06-04,2019-06-05,RESURS SS,Resurs Holding AB,113.641,19.8653,54.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1144.12,2.685185194,4.074074268,1144.12,2.995339336925637,"['Carnegie', 'Morgan Stanley', 'SEB']",55.2409,55.8,-0.032258064516129004,0.022979629629629628,True
ENTRA NO,2019-06-04,2019-06-05,2019-06-04,2019-06-05,ENTRA NO,Entra ASA,287.859,20.2781,123.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit",2599.48,2.834007978,2.834007978,2599.48,2.342794414461624,"['ABG Sundal Collier Asa', 'Carnegie', 'UBS']",123.8475,129.0,-0.04263565891472865,0.002813765182186234,True
SEQI LN,2019-06-03,2019-06-27,2019-06-03,2019-06-27,SEQI LN,Sequoia Economic Infrastructur,98.924,72.4941,108.0,"ADDL,Primary Share Offering,REG S",1720.95,5.0,5.185184956,1720.95,2.0812840030660658,['Stifel'],113.9124,111.4,-0.03052064631956919,0.054744444444444484,False
SRP LN,2019-05-23,2019-05-28,2019-05-23,2019-05-28,SRP LN,Serco Group PLC,177.66,111.216,126.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1954.26,6.428571224,4.126984119,1954.26,2.3560493011168897,"['Bank of America Merrill Lynch', 'Barclays']",131.8171,130.1,-0.031514219830899304,0.04616746031746044,True
BG AV,2019-05-23,2019-05-24,2019-05-23,2019-05-24,BG AV,BAWAG Group AG,374.373,9.3,36.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",4025.52,4.166666508,4.5,4025.52,2.2349997471373513,"['Citi', 'Goldman Sachs', 'Morgan Stanley']",36.998,40.18,-0.10403185664509706,0.027722222222222204,True
SKG ID,2019-05-22,2019-05-22,2019-05-22,2019-05-22,SKG ID,Smurfit Kappa Group PLC,197.794,7.049,25.15,"ADDL,Secondary Share Offering,PE Exit,Accelerated Bookbuild",6664.53,1.78926599,-0.5964199901,6664.53,17.415570877802374,['Goldman Sachs'],26.0786,26.36,-0.045902883156297425,0.036922465208747646,True
HL/ LN,2019-05-21,2019-05-22,2019-05-21,2019-05-22,HL/ LN,Hargreaves Lansdown PLC,217.683,7.5,2280.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",13707.4,0.1315789521,-0.3508771956,13707.4,20.52409077229474,['Barclays'],2316.3606,2399.0,-0.04960400166736145,0.015947631578947297,False
MTRO LN,2019-05-16,2019-06-05,2019-05-16,2019-06-05,MTRO LN,Metro Bank PLC,479.812,75.0,500.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1103.06,40.0,33.90000153,1103.06,5.5682020154703,"['Jefferies', 'Stifel', 'RBC Capital Markets']",692.6576,536.5,-0.06803355079217144,0.38531519999999997,False
AML LN,2019-05-16,2019-05-16,2019-05-16,2019-05-16,AML LN,Aston Martin Lagonda Global Ho,110.037,10.75,800.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",2333.83,9.375,8.75,2333.83,4.727966806616366,['Credit Suisse'],862.4508,875.0,-0.08571428571428574,0.07806349999999984,False
VNA GR,2019-05-13,2019-05-21,2019-05-13,2019-05-21,VNA GR,Vonovia SE,836.053,16.5,45.1,"ADDL,Primary Share Offering,Accelerated Bookbuild,Private Placement",0.0,5.764970303,4.478939056,27135.6633,74.77978273219435,"['Credit Suisse', 'JP Morgan', 'Morgan Stanley']",47.6305,46.62,-0.03260403260403255,0.05610864745011068,True
HFG GR,2019-05-13,2019-05-14,2019-05-13,2019-05-14,HFG GR,HelloFresh SE,392.935,43.7177,8.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1476.33,10.0,13.625,1476.33,1.8132761438414702,['Joh Berenberg Gossler & Co KG'],8.5843,8.05,-0.006211180124223725,0.07303750000000009,False
