,,,,,0,1,2,3,4
21,1,50,5,0.55,0.5652990326543791,0.8760829079601491,493.3,0.0026378458567056042,0.41440677739941967
21,1,50,5,0.6,0.5748154286370314,0.6077917503605719,277.1,0.0016941492383965831,0.38493196265966007
21,1,50,10,0.55,0.5525942488714193,0.8151652526205309,445.35,0.002528288969040976,0.48676722118077553
21,1,50,10,0.6,0.5645841699788461,0.7997651982413403,268.05,0.001804098427222301,0.5138449934502206
21,1,50,15,0.55,0.5547582832016578,0.7516148804337801,425.15,0.0023981152497935666,0.4240987377580438
21,1,50,15,0.6,0.5746118985555239,0.7714387233239278,251.3,0.0017169876667412522,0.45629138859346025
21,1,100,5,0.55,0.567097821290299,0.7425956523216134,481.45,0.002291459874072113,0.3483629990003807
21,1,100,5,0.6,0.5664749591554311,0.48054105113002415,270.25,0.0017473379201557952,0.38083975755138394
21,1,100,10,0.55,0.5634467142167415,0.8696039171110599,429.95,0.0026842451459126496,0.49852276672362134
21,1,100,10,0.6,0.5830679738919188,0.7802301048139446,250.15,0.001594884033561676,0.44168903521127856
21,1,100,15,0.55,0.5623359987699887,0.8192129525070889,406.6,0.002366699404209274,0.42646567811369185
21,1,100,15,0.6,0.5978548694796176,0.7637133297876684,231.8,0.0017910246162564814,0.422407173382846
21,1,200,5,0.55,0.5700493858517434,0.7490949913530868,466.3,0.0022507154516587134,0.34825226838385825
21,1,200,5,0.6,0.5712807154790797,0.4579866016388571,239.6,0.0015931823445924811,0.3890523281415894
21,1,200,10,0.55,0.5689772552684565,0.7407526965231929,429.35,0.002113794124872551,0.39424593653215906
21,1,200,10,0.6,0.587153584712078,0.798944362748385,235.3,0.0015145535592811586,0.4466351062339622
21,1,200,15,0.55,0.5739750221389828,0.7113153395184678,400.6,0.0018905569646382992,0.33212315517362356
21,1,200,15,0.6,0.5922400082996185,0.6730762200895666,213.25,0.0015740530541499369,0.4432964975454172
21,2,50,5,0.55,0.5747506456449425,0.6063014875561858,450.1578947368421,0.0025317465651812023,0.43467267441087554
21,2,50,5,0.6,0.5811240609510934,0.6638009027982915,194.68421052631578,0.0009330798814444734,0.26847831970392266
21,2,50,10,0.55,0.554389845242323,0.7756278117343746,494.6842105263158,0.002578888474733206,0.43505494768670355
21,2,50,10,0.6,0.5632956272019298,0.7616270522042352,284.7368421052632,0.001661767084029293,0.3867002913737429
21,2,50,15,0.55,0.5658143174508178,0.8760790781047039,416.36842105263156,0.0023194212589272654,0.4463246069974544
21,2,50,15,0.6,0.58043353725601,0.866229594973097,232.0,0.001464532834617002,0.47130094044452353
21,2,100,5,0.55,0.5782584798681426,0.6026997724445233,440.8421052631579,0.002443865061242942,0.3968017266118384
21,2,100,5,0.6,0.59477970699044,0.659091172897557,184.3684210526316,0.0009843874265643624,0.274965364859641
21,2,100,10,0.55,0.5546987875480803,0.6648748492834409,461.8421052631579,0.0022068965108312873,0.36952784796228677
21,2,100,10,0.6,0.5749358611441878,0.6688449209149376,243.47368421052633,0.001471081000933071,0.37936347803013865
21,2,100,15,0.55,0.5558969562788838,0.8070320904503806,408.89473684210526,0.0021201192654946113,0.39462986887011176
21,2,100,15,0.6,0.5783073020363944,0.93742589922399,213.31578947368422,0.0015768395074878814,0.5320860157155616
21,2,200,5,0.55,0.5826367830744387,0.6418389069708246,460.4736842105263,0.002467951538360417,0.3895522047299242
21,2,200,5,0.6,0.5588250153696602,0.28492168696228204,197.73684210526315,0.0009727822204207663,0.28045202101848965
21,2,200,10,0.55,0.5646832491137149,0.7160490298241257,445.89473684210526,0.0020479486103563435,0.34763444152595263
21,2,200,10,0.6,0.5752857882109116,0.6717168389331742,223.1578947368421,0.0012953070134483161,0.3436161267611374
