,,,,2019-06-28 00:00:00,size
NTRA US,13/Mar/2019,10/May/2019,29/Mar/2019,-0.10928522516085903,236.33903416279617
NVR US,22/Apr/2019,,28/Jun/2019,0.07622405441432267,748.9167641992759
NVTA US,20/Feb/2019,08/May/2019,29/Mar/2019,-0.009941026212555881,240.34178729642832
NXST US,26/Feb/2019,08/May/2019,29/Mar/2019,0.03730074156651364,724.72724603131
OLED US,03/May/2019,,28/Jun/2019,0.08431068105584205,340.87323560114424
PE US,22/Feb/2019,02/May/2019,29/Mar/2019,-0.03465659115528141,431.43631908175206
PFSI US,03/May/2019,,28/Jun/2019,-0.06227552708107709,613.775599508308
PLNT US,27/Feb/2019,03/May/2019,29/Mar/2019,0.013689576812336623,1053.7069329466735
PODD US,03/May/2019,,28/Jun/2019,0.19220584770249172,399.2914529129749
PRFT US,02/May/2019,,28/Jun/2019,0.056191104801816216,746.2579957375779
PRGS US,29/Mar/2019,28/Jun/2019,29/Mar/2019,-0.05659758676364879,597.1423930972384
PSMT US,10/Apr/2019,,28/Jun/2019,-0.11138071053002252,486.7462216659418
QUOT US,08/May/2019,,28/Jun/2019,0.024499233067213355,464.37759979926653
RLI US,18/Apr/2019,,28/Jun/2019,0.17998569941869413,897.9603214032387
RNR US,08/May/2019,,28/Jun/2019,0.11979997018031363,888.478774277089
ROG US,01/May/2019,,28/Jun/2019,-0.24581758277271537,372.3472744871673
ROKU US,22/Feb/2019,09/May/2019,29/Mar/2019,-0.08016754734268328,302.12043068582165
RS US,21/Feb/2019,25/Apr/2019,29/Mar/2019,0.019648369830071122,743.3307176612591
RTEC US,07/May/2019,,28/Jun/2019,-0.09512509777286748,619.7029222234796
SAH US,25/Apr/2019,,28/Jun/2019,0.12932147053454712,277.9560987174383
SBGI US,27/Feb/2019,08/May/2019,29/Mar/2019,0.12137347804658183,701.1908565934046
SEAS US,28/Feb/2019,07/May/2019,29/Mar/2019,-0.06229942901437946,345.52339764363535
SEDG US,07/May/2019,,28/Jun/2019,0.14645955574330305,505.8940722630423
SFIX US,12/Mar/2019,06/Jun/2019,29/Mar/2019,-0.11391982728338612,267.6000988403103
SGMS US,21/Feb/2019,08/May/2019,29/Mar/2019,0.04515532564805391,336.15027319042593
SID US,21/Feb/2019,09/May/2019,29/Mar/2019,0.024231908883805664,271.30410254548417
SKY US,22/May/2019,,28/Jun/2019,0.06997100222259589,339.0711687191507
SLAB US,24/Apr/2019,,28/Jun/2019,-0.03292733763892419,460.3614898011485
SOHU US,29/Apr/2019,,28/Jun/2019,-0.2040064962161373,311.08102585597265
SPB US,08/May/2019,,28/Jun/2019,-0.0963031522314437,497.4337317055807
SSNC US,15/Feb/2019,01/May/2019,29/Mar/2019,-0.00040881656684677026,571.1052973729217
STRA US,01/Mar/2019,01/May/2019,29/Mar/2019,0.04473384349587084,438.6909767591724
STRA US,01/May/2019,,28/Jun/2019,0.14301465433940663,493.4376241040294
TER US,24/Apr/2019,,28/Jun/2019,-0.09240155797608052,478.4912966618583
