,Code,Measure,PerType,PerDate,Value_,RptDate
87,2,8,A,2016-12-31,0.98,2017-01-31
88,2,8,A,2017-12-31,1.22,2018-02-05
224,2,8,Q,2016-12-31,0.12,2017-01-31
225,2,8,Q,2017-03-31,0.33,2017-04-25
226,2,8,Q,2017-06-30,0.32,2017-07-24
227,2,8,Q,2017-09-30,0.26,2017-10-23
228,2,8,Q,2017-12-31,0.31,2018-02-05
229,2,8,Q,2018-03-31,0.34,2018-04-30
230,2,8,Q,2018-06-30,0.37,2018-07-31
231,2,8,Q,2018-09-30,0.32,2018-10-30
695,16,8,A,2016-12-31,1.83,2017-02-08
696,16,8,A,2017-12-31,1.61,2018-02-05
816,16,8,Q,2016-12-31,0.43,2017-02-08
817,16,8,Q,2017-03-31,0.46,2017-05-04
818,16,8,Q,2017-06-30,0.48,2017-08-01
819,16,8,Q,2017-09-30,0.57,2017-10-30
820,16,8,Q,2017-12-31,0.43,2018-02-05
821,16,8,Q,2018-03-31,0.54,2018-05-07
822,16,8,Q,2018-06-30,0.82,2018-08-06
823,16,8,Q,2018-09-30,0.85,2018-10-30
1323,26,8,A,2016-12-31,1.0,2017-02-23
1324,26,8,A,2017-12-31,0.95,2018-02-27
1421,26,8,Q,2016-12-31,0.21,2017-02-23
1422,26,8,Q,2017-03-31,0.19,2017-05-04
1423,26,8,Q,2017-06-30,0.26,2017-08-03
1424,26,8,Q,2017-09-30,0.28,2017-11-02
1425,26,8,Q,2017-12-31,0.21,2018-02-27
1426,26,8,Q,2018-03-31,0.08,2018-05-03
1427,26,8,Q,2018-06-30,0.22,2018-08-02
1428,26,8,Q,2018-09-30,0.27,2018-11-01
1500,28,8,A,2017-09-30,9.21,2017-11-02
1501,28,8,A,2018-09-30,11.91,2018-11-01
1637,28,8,Q,2016-12-31,3.36,2017-01-31
1638,28,8,Q,2017-03-31,2.1,2017-05-02
1639,28,8,Q,2017-06-30,1.67,2017-08-01
1640,28,8,Q,2017-09-30,2.07,2017-11-02
1641,28,8,Q,2017-12-31,3.89,2018-02-01
1642,28,8,Q,2018-03-31,2.73,2018-05-01
1643,28,8,Q,2018-06-30,2.34,2018-07-31
1644,28,8,Q,2018-09-30,2.91,2018-11-01
1895,36,8,A,2016-12-31,0.85,2017-02-21
1896,36,8,A,2017-12-31,1.265,2018-02-22
1941,36,8,S,2016-12-31,-9999.0,2017-02-21
1942,36,8,S,2017-06-30,-9999.0,2017-07-27
1943,36,8,S,2017-12-31,-9999.0,2018-02-22
1944,36,8,S,2018-06-30,-9999.0,2018-07-26
2098,44,8,A,2017-03-31,1.27,2017-04-27
2099,44,8,A,2018-03-31,1.29,2018-04-26
2219,44,8,Q,2016-12-31,0.3,2017-01-26
2220,44,8,Q,2017-03-31,0.33,2017-04-27
2221,44,8,Q,2017-06-30,0.28,2017-07-27
2222,44,8,Q,2017-09-30,0.29,2017-10-24
2223,44,8,Q,2017-12-31,0.31,2018-01-25
2224,44,8,Q,2018-03-31,0.42,2018-04-26
2455,49,8,A,2016-12-31,2.19,2017-01-20
2456,49,8,A,2017-12-31,2.48,2018-01-26
2546,49,8,Q,2016-12-31,0.63,2017-01-20
2547,49,8,Q,2017-03-31,0.59,2017-04-21
2548,49,8,Q,2017-06-30,0.63,2017-07-21
2549,49,8,Q,2017-09-30,0.63,2017-10-19
2550,49,8,Q,2017-12-31,0.63,2018-01-26
2551,49,8,Q,2018-03-31,0.73,2018-04-20
2552,49,8,Q,2018-06-30,0.74,2018-07-27
2553,49,8,Q,2018-09-30,0.91,2018-10-19
2796,54,8,A,2017-03-31,1.17,2017-05-04
2797,54,8,A,2018-03-31,2.45,2018-05-03
2914,54,8,Q,2016-12-31,0.34,2017-01-26
2915,54,8,Q,2017-03-31,0.33,2017-05-04
2916,54,8,Q,2017-06-30,0.82,2017-07-27
2917,54,8,Q,2017-09-30,0.54,2017-10-26
2918,54,8,Q,2017-12-31,0.29,2018-02-01
2919,54,8,Q,2018-03-31,0.8,2018-05-03
2920,54,8,Q,2018-06-30,1.95,2018-07-26
2921,54,8,Q,2018-09-30,1.09,2018-11-01
3353,64,8,A,2016-12-31,0.93,2017-02-08
3354,64,8,A,2017-12-31,1.33,2018-01-31
3473,64,8,Q,2016-12-31,0.29,2017-02-08
3474,64,8,Q,2017-03-31,-0.22,2017-05-05
3475,64,8,Q,2017-06-30,0.57,2017-07-28
3476,64,8,Q,2017-09-30,0.59,2017-11-03
3477,64,8,Q,2017-12-31,0.42,2018-01-31
3478,64,8,Q,2018-03-31,0.29,2018-05-10
3479,64,8,Q,2018-06-30,1.12,2018-07-31
3480,64,8,Q,2018-09-30,1.44,2018-11-01
4074,75,8,A,2016-12-31,10.43,2017-02-28
4075,75,8,A,2017-12-31,-3.64,2018-02-28
4187,75,8,Q,2016-12-31,-0.11,2017-02-28
4188,75,8,Q,2017-03-31,-2.01,2017-05-10
4189,75,8,Q,2017-06-30,1.54,2017-08-09
4190,75,8,Q,2017-09-30,-3.3,2017-11-08
4191,75,8,Q,2017-12-31,0.12,2018-02-28
4192,75,8,Q,2018-03-31,7.22,2018-05-08
4193,75,8,Q,2018-06-30,0.78,2018-08-08
4194,75,8,Q,2018-09-30,-1.66,2018-11-07
4247,77,8,A,2017-09-30,1.723,2017-10-25
4248,77,8,A,2018-09-30,1.63,2018-10-30
4339,77,8,S,2017-03-31,-9999.0,2017-05-02
4340,77,8,S,2017-09-30,-9999.0,2017-10-25
4341,77,8,S,2018-03-31,-9999.0,2018-04-30
4342,77,8,S,2018-09-30,-9999.0,2018-10-30
4387,79,8,A,2017-10-31,1.75,2017-12-13
4524,79,8,Q,2017-01-31,0.38,2017-03-07
4525,79,8,Q,2017-04-30,0.49,2017-06-07
4526,79,8,Q,2017-07-31,0.51,2017-09-06
4527,79,8,Q,2017-10-31,0.37,2017-12-13
4528,79,8,Q,2018-01-31,0.26,2018-03-06
4529,79,8,Q,2018-04-30,0.47,2018-06-06
4530,79,8,Q,2018-07-31,0.57,2018-09-06
4744,85,8,A,2016-12-31,6.74,2017-02-07
4866,85,8,Q,2016-12-31,2.05,2017-02-07
4867,85,8,Q,2017-03-31,1.83,2017-04-25
5263,95,8,A,2016-12-31,2.2,2017-01-25
5264,95,8,A,2017-12-31,2.5,2018-01-24
5400,95,8,Q,2016-12-31,0.65,2017-01-25
5401,95,8,Q,2017-03-31,0.48,2017-04-19
5402,95,8,Q,2017-06-30,0.62,2017-07-20
5403,95,8,Q,2017-09-30,0.66,2017-10-18
5404,95,8,Q,2017-12-31,0.74,2018-01-24
5405,95,8,Q,2018-03-31,0.59,2018-04-18
5406,95,8,Q,2018-06-30,0.73,2018-07-18
5407,95,8,Q,2018-09-30,0.75,2018-10-17
5551,99,8,A,2016-12-31,1.3,2017-03-09
5552,99,8,A,2017-12-31,0.64,2018-03-08
5627,99,8,Q,2016-12-31,0.35,2017-03-09
5628,99,8,Q,2017-03-31,0.26,2017-05-04
5629,99,8,Q,2017-06-30,0.19,2017-08-03
5630,99,8,Q,2017-09-30,0.18,2017-11-02
5631,99,8,Q,2017-12-31,0.01,2018-03-08
5632,99,8,Q,2018-03-31,-0.07,2018-05-10
5633,99,8,Q,2018-06-30,-0.22,2018-08-02
5634,99,8,Q,2018-09-30,-0.19,2018-11-08
5852,107,8,A,2016-12-31,1.92,2017-02-14
5853,107,8,A,2017-12-31,2.3,2018-02-13
5971,107,8,Q,2016-12-31,0.67,2017-02-14
5972,107,8,Q,2017-03-31,0.46,2017-04-27
5973,107,8,Q,2017-06-30,0.49,2017-07-27
5974,107,8,Q,2017-09-30,0.51,2017-10-25
5975,107,8,Q,2017-12-31,0.84,2018-02-13
5976,107,8,Q,2018-03-31,0.73,2018-04-26
5977,107,8,Q,2018-06-30,0.62,2018-07-26
5978,107,8,Q,2018-09-30,0.69,2018-10-24
6044,111,8,A,2017-01-31,-0.5,2017-03-02
6045,111,8,A,2018-01-31,-0.48,2018-03-06
6174,111,8,Q,2017-01-31,-0.28,2017-03-02
6175,111,8,Q,2017-04-30,-0.16,2017-05-18
6176,111,8,Q,2017-07-31,-0.11,2017-08-24
6177,111,8,Q,2017-10-31,-0.12,2017-11-28
6178,111,8,Q,2018-01-31,-0.09,2018-03-06
6179,111,8,Q,2018-04-30,0.06,2018-05-24
6180,111,8,Q,2018-07-31,0.19,2018-08-23
6181,111,8,Q,2018-10-31,0.29,2018-11-20
6623,118,8,Q,2016-12-31,-0.79,2017-02-06
6842,126,8,A,2016-12-31,4.33,2017-02-14
6843,126,8,A,2017-12-31,4.47,2018-02-14
6979,126,8,Q,2016-12-31,0.46,2017-02-14
6980,126,8,Q,2017-03-31,0.76,2017-05-03
6981,126,8,Q,2017-06-30,1.66,2017-08-02
6982,126,8,Q,2017-09-30,1.34,2017-11-01
6983,126,8,Q,2017-12-31,0.62,2018-02-14
6984,126,8,Q,2018-03-31,0.48,2018-05-02
6985,126,8,Q,2018-06-30,1.88,2018-08-01
6986,126,8,Q,2018-09-30,1.84,2018-10-31
7950,146,8,A,2016-12-31,10.12,2017-01-31
7951,146,8,A,2017-12-31,7.14,2018-01-30
8052,146,8,Q,2016-12-31,2.72,2017-01-31
8053,146,8,Q,2017-03-31,2.48,2017-04-25
8054,146,8,Q,2017-06-30,2.5,2017-07-25
8055,146,8,Q,2017-09-30,-0.13,2017-10-26
8056,146,8,Q,2017-12-31,2.28,2018-01-30
8057,146,8,Q,2018-03-31,2.34,2018-04-24
8058,146,8,Q,2018-06-30,2.68,2018-07-24
8059,146,8,Q,2018-09-30,2.41,2018-10-23
8235,151,8,A,2016-12-31,0.36,2017-02-01
8236,151,8,A,2017-12-31,1.48,2018-02-06
8305,151,8,Q,2016-12-31,0.13,2017-02-01
8306,151,8,Q,2017-03-31,0.29,2017-05-04
8307,151,8,Q,2017-06-30,0.42,2017-08-03
8308,151,8,Q,2017-09-30,0.35,2017-11-02
8309,151,8,Q,2017-12-31,0.47,2018-02-06
8310,151,8,Q,2018-03-31,0.41,2018-05-02
8311,151,8,Q,2018-06-30,0.43,2018-08-02
8312,151,8,Q,2018-09-30,0.26,2018-11-01
8408,153,8,A,2016-12-31,-1.29,2017-02-28
8409,153,8,A,2017-12-31,-1.16,2018-02-15
8466,153,8,Q,2016-12-31,-0.31,2017-02-28
8467,153,8,Q,2017-03-31,-0.27,2017-05-03
8468,153,8,Q,2017-06-30,-0.31,2017-08-03
8469,153,8,Q,2017-09-30,-0.31,2017-11-02
8470,153,8,Q,2017-12-31,-0.27,2018-02-15
8471,153,8,Q,2018-03-31,-0.37,2018-05-09
8472,153,8,Q,2018-06-30,-0.43,2018-08-06
8473,153,8,Q,2018-09-30,-0.41,2018-11-06
9382,171,8,A,2016-12-31,-8.07,2017-03-01
9383,171,8,A,2017-12-31,12.07,2018-03-01
9492,171,8,Q,2016-12-31,-1.42,2017-03-01
9493,171,8,Q,2017-03-31,-0.12,2017-05-09
9494,171,8,Q,2017-06-30,9.51,2017-08-08
9495,171,8,Q,2017-09-30,3.53,2017-11-03
9496,171,8,Q,2017-12-31,-1.51,2018-03-01
9497,171,8,Q,2018-03-31,0.86,2018-05-03
9498,171,8,Q,2018-06-30,1.7,2018-08-02
9499,171,8,Q,2018-09-30,0.68,2018-11-08
9566,174,8,A,2016-12-31,,2017-03-14
9633,174,8,Q,2016-12-31,,2017-03-14
9893,181,8,A,2016-12-31,0.62,2017-03-09
9894,181,8,A,2017-12-31,1.03,2018-02-13
9974,181,8,Q,2016-12-31,0.02,2017-03-09
9975,181,8,Q,2017-03-31,-0.08,2017-05-04
9976,181,8,Q,2017-06-30,-0.14,2017-07-27
9977,181,8,Q,2017-09-30,3.31,2017-10-26
9978,181,8,Q,2017-12-31,-2.04,2018-02-13
9979,181,8,Q,2018-03-31,0.3,2018-05-01
9980,181,8,Q,2018-06-30,-0.1,2018-08-08
9981,181,8,Q,2018-09-30,0.11,2018-10-25
11194,208,8,A,2016-12-31,1.64,2017-02-23
11195,208,8,A,2017-12-31,1.42,2018-02-27
11331,208,8,Q,2016-12-31,0.15,2017-02-23
11332,208,8,Q,2017-03-31,0.18,2017-04-20
11333,208,8,Q,2017-06-30,0.75,2017-07-25
11334,208,8,Q,2017-09-30,0.32,2017-10-20
11335,208,8,Q,2017-12-31,0.16,2018-02-27
11336,208,8,Q,2018-03-31,0.21,2018-04-20
11337,208,8,Q,2018-06-30,0.67,2018-07-20
11338,208,8,Q,2018-09-30,0.23,2018-10-19
11636,213,8,A,2016-12-31,0.73,2017-02-07
11637,213,8,A,2017-12-31,0.63,2018-02-06
11754,213,8,Q,2016-12-31,0.14,2017-02-07
11755,213,8,Q,2017-03-31,0.14,2017-04-25
11756,213,8,Q,2017-06-30,0.15,2017-07-25
11757,213,8,Q,2017-09-30,0.18,2017-10-24
11758,213,8,Q,2017-12-31,0.17,2018-02-06
11759,213,8,Q,2018-03-31,0.19,2018-04-24
11760,213,8,Q,2018-06-30,0.18,2018-07-24
11761,213,8,Q,2018-09-30,0.22,2018-10-23
11848,215,8,A,2016-12-31,0.78,2017-03-09
11849,215,8,A,2017-12-31,1.29,2018-03-06
11929,215,8,Q,2016-12-31,-0.03,2017-03-09
11930,215,8,Q,2017-03-31,0.41,2017-05-11
11931,215,8,Q,2017-06-30,0.25,2017-08-10
11932,215,8,Q,2017-09-30,0.27,2017-11-09
11933,215,8,Q,2017-12-31,0.44,2018-03-06
11934,215,8,Q,2018-03-31,0.22,2018-05-15
11935,215,8,Q,2018-06-30,-0.06,2018-08-09
11936,215,8,Q,2018-09-30,-3.16,2018-11-07
12245,221,8,A,2017-11-30,4.31,2017-12-14
12371,221,8,Q,2017-02-28,0.94,2017-03-16
12372,221,8,Q,2017-05-31,1.02,2017-06-20
12373,221,8,Q,2017-08-31,1.1,2017-09-19
12374,221,8,Q,2017-11-30,1.26,2017-12-14
12375,221,8,Q,2018-02-28,1.55,2018-03-15
12376,221,8,Q,2018-05-31,1.66,2018-06-14
12377,221,8,Q,2018-08-31,1.73,2018-09-13
13201,237,8,A,2016-12-31,,2017-03-01
13202,237,8,A,2017-12-31,,2018-03-06
13338,237,8,Q,2016-12-31,,2017-03-01
13339,237,8,Q,2017-03-31,,2017-05-09
13340,237,8,Q,2017-06-30,,2017-08-01
13341,237,8,Q,2017-09-30,,2017-11-01
13342,237,8,Q,2017-12-31,,2018-03-06
13491,240,8,A,2017-10-31,4.72,2017-11-21
13492,240,8,A,2018-10-31,5.94,2018-11-20
13628,240,8,Q,2017-01-31,0.94,2017-02-15
13629,240,8,Q,2017-04-30,1.03,2017-05-31
13630,240,8,Q,2017-07-31,1.26,2017-08-30
13631,240,8,Q,2017-10-31,1.45,2017-11-21
13632,240,8,Q,2018-01-31,1.42,2018-02-28
13633,240,8,Q,2018-04-30,1.45,2018-05-30
13634,240,8,Q,2018-07-31,1.53,2018-08-22
13635,240,8,Q,2018-10-31,1.55,2018-11-20
14075,250,8,A,2016-12-31,2.16,2017-02-07
14076,250,8,A,2017-12-31,2.43,2018-02-06
14212,250,8,Q,2016-12-31,0.75,2017-02-07
14213,250,8,Q,2017-03-31,0.6,2017-05-02
14214,250,8,Q,2017-06-30,0.57,2017-08-01
14215,250,8,Q,2017-09-30,0.45,2017-10-31
14216,250,8,Q,2017-12-31,0.82,2018-02-06
14217,250,8,Q,2018-03-31,0.68,2018-05-01
14218,250,8,Q,2018-06-30,1.02,2018-07-31
14219,250,8,Q,2018-09-30,0.92,2018-11-06
14299,252,8,A,2016-12-31,6.07,2017-02-14
14300,252,8,A,2017-12-31,-5.71,2018-02-27
14425,252,8,Q,2016-12-31,1.85,2017-02-14
14426,252,8,Q,2017-03-31,-1.06,2017-05-02
14427,252,8,Q,2017-06-30,-0.4,2017-08-03
14428,252,8,Q,2017-09-30,-4.31,2017-11-02
14429,252,8,Q,2017-12-31,0.1,2018-02-27
14430,252,8,Q,2018-03-31,-1.59,2018-05-03
14431,252,8,Q,2018-06-30,-0.75,2018-08-02
14432,252,8,Q,2018-09-30,-1.88,2018-11-01
15278,269,8,A,2016-12-31,0.72,2017-01-17
15279,269,8,A,2017-12-31,0.73,2018-01-16
15373,269,8,Q,2016-12-31,0.16,2017-01-17
15374,269,8,Q,2017-03-31,0.14,2017-04-18
15375,269,8,Q,2017-06-30,0.26,2017-07-18
15376,269,8,Q,2017-09-30,0.33,2017-10-17
15377,269,8,Q,2017-12-31,0.01,2018-01-16
15378,269,8,Q,2018-03-31,-0.29,2018-04-17
15379,269,8,Q,2018-06-30,-0.1,2018-07-17
15380,269,8,Q,2018-09-30,0.21,2018-10-16
16192,285,8,A,2016-12-31,0.8,2017-02-17
16193,285,8,A,2017-12-31,0.85,2018-02-15
16320,285,8,Q,2016-12-31,-9999.0,2017-02-17
16321,285,8,Q,2017-03-31,-9999.0,2017-05-11
16322,285,8,Q,2017-06-30,-9999.0,2017-08-14
16323,285,8,Q,2017-09-30,-9999.0,2017-11-09
16324,285,8,Q,2017-12-31,-9999.0,2018-02-15
16325,285,8,Q,2018-03-31,-9999.0,2018-08-16
16326,285,8,Q,2018-06-30,-9999.0,2018-08-16
16394,289,8,A,2017-05-31,-0.29,2017-07-19
16395,289,8,A,2018-05-31,0.07,2018-07-19
16476,289,8,Q,2016-11-30,-0.08,2017-01-05
16477,289,8,Q,2017-02-28,-0.14,2017-03-30
16478,289,8,Q,2017-05-31,-0.03,2017-07-19
16479,289,8,Q,2017-08-31,0.01,2017-09-28
16480,289,8,Q,2017-11-30,0.02,2018-01-04
16481,289,8,Q,2018-02-28,0.02,2018-04-03
16482,289,8,Q,2018-05-31,0.02,2018-07-19
16483,289,8,Q,2018-08-31,-0.06,2018-09-27
16506,290,8,A,2016-12-31,3.11,2017-01-30
16507,290,8,A,2017-12-31,4.77,2018-01-30
16596,290,8,Q,2016-12-31,1.06,2017-01-30
16597,290,8,Q,2017-03-31,1.04,2017-05-01
16598,290,8,Q,2017-06-30,1.22,2017-07-31
16599,290,8,Q,2017-09-30,1.19,2017-10-30
16600,290,8,Q,2017-12-31,1.31,2018-01-30
16601,290,8,Q,2018-03-31,1.34,2018-04-30
16602,290,8,Q,2018-06-30,1.25,2018-07-30
16603,290,8,Q,2018-09-30,1.05,2018-10-29
16646,291,8,A,2016-12-31,-1.2,2017-02-22
16647,291,8,A,2017-12-31,-1.69,2018-02-27
16780,291,8,Q,2016-12-31,-0.3,2017-02-22
16781,291,8,Q,2017-03-31,-0.49,2017-04-26
16782,291,8,Q,2017-06-30,-0.38,2017-08-02
16783,291,8,Q,2017-09-30,-0.42,2017-10-24
16784,291,8,Q,2017-12-31,-0.34,2018-02-27
16785,291,8,Q,2018-03-31,-0.46,2018-05-01
16786,291,8,Q,2018-06-30,-0.42,2018-07-31
16787,291,8,Q,2018-09-30,-0.29,2018-10-30
17042,295,8,A,2017-01-31,1.25,2017-03-01
17043,295,8,A,2018-01-31,1.16,2018-03-08
17137,295,8,Q,2017-01-31,0.39,2017-03-01
17138,295,8,Q,2017-04-30,0.16,2017-05-17
17139,295,8,Q,2017-07-31,0.19,2017-08-23
17140,295,8,Q,2017-10-31,0.37,2017-12-06
17141,295,8,Q,2018-01-31,0.44,2018-03-08
17142,295,8,Q,2018-04-30,0.23,2018-05-31
17143,295,8,Q,2018-07-31,0.34,2018-08-29
17186,296,8,A,2016-12-31,3.94,2017-01-26
17187,296,8,A,2017-12-31,3.68,2018-01-25
17323,296,8,Q,2016-12-31,0.67,2017-01-26
17324,296,8,Q,2017-03-31,0.96,2017-04-27
17325,296,8,Q,2017-06-30,0.75,2017-07-27
17326,296,8,Q,2017-09-30,1.1,2017-10-26
17327,296,8,Q,2017-12-31,0.85,2018-01-25
17328,296,8,Q,2018-03-31,0.96,2018-04-26
17329,296,8,Q,2018-06-30,1.01,2018-07-25
17330,296,8,Q,2018-09-30,1.26,2018-10-25
17361,297,8,A,2016-10-31,,2017-01-13
17485,297,8,Q,2016-10-31,,2017-01-13
17576,299,8,A,2016-12-31,0.98,2017-02-27
17577,299,8,A,2017-12-31,1.08,2018-02-27
17698,299,8,Q,2016-12-31,0.35,2017-02-27
17699,299,8,Q,2017-03-31,0.17,2017-05-08
17700,299,8,Q,2017-06-30,0.25,2017-08-08
17701,299,8,Q,2017-09-30,0.24,2017-11-02
17702,299,8,Q,2017-12-31,0.43,2018-02-27
17703,299,8,Q,2018-03-31,0.28,2018-05-08
17704,299,8,Q,2018-06-30,0.25,2018-08-07
17705,299,8,Q,2018-09-30,0.35,2018-11-06
17796,301,8,A,2016-12-31,8.23,2017-01-31
17797,301,8,A,2017-12-31,9.86,2018-01-30
17933,301,8,Q,2016-12-31,1.63,2017-01-31
17934,301,8,Q,2017-03-31,2.71,2017-05-02
17935,301,8,Q,2017-06-30,3.42,2017-08-03
17936,301,8,Q,2017-09-30,2.45,2017-10-31
17937,301,8,Q,2017-12-31,1.25,2018-01-30
17938,301,8,Q,2018-03-31,3.19,2018-05-01
17939,301,8,Q,2018-06-30,3.43,2018-08-02
17940,301,8,Q,2018-09-30,2.96,2018-10-30
19116,330,8,A,2016-12-31,3.225,2017-01-31
19117,330,8,A,2017-12-31,3.455,2018-01-31
19253,330,8,Q,2016-12-31,0.73,2017-01-31
19254,330,8,Q,2017-03-31,0.835,2017-04-27
19255,330,8,Q,2017-06-30,0.915,2017-07-27
19256,330,8,Q,2017-09-30,0.85,2017-10-25
19257,330,8,Q,2017-12-31,0.815,2018-01-31
19258,330,8,Q,2018-03-31,1.02,2018-04-25
19259,330,8,Q,2018-06-30,1.06,2018-07-26
19260,330,8,Q,2018-09-30,1.03,2018-10-24
20332,353,8,A,2016-12-31,2.47,2017-02-07
20333,353,8,A,2017-12-31,3.02,2018-02-06
20451,353,8,Q,2016-12-31,0.84,2017-02-07
20452,353,8,Q,2017-03-31,-0.02,2017-04-28
20453,353,8,Q,2017-06-30,1.15,2017-07-27
20454,353,8,Q,2017-09-30,0.79,2017-10-31
20455,353,8,Q,2017-12-31,1.1,2018-02-06
20456,353,8,Q,2018-03-31,0.35,2018-05-01
20457,353,8,Q,2018-06-30,1.32,2018-07-31
20458,353,8,Q,2018-09-30,0.91,2018-10-30
20618,357,8,A,2016-12-31,-1.46,2017-03-09
20619,357,8,A,2017-12-31,-1.23,2018-03-15
20688,357,8,Q,2016-12-31,-0.3,2017-03-09
20689,357,8,Q,2017-03-31,-0.18,2017-05-04
20690,357,8,Q,2017-06-30,-0.32,2017-08-03
20691,357,8,Q,2017-09-30,-0.37,2017-11-07
20692,357,8,Q,2017-12-31,-0.35,2018-03-15
20693,357,8,Q,2018-03-31,-0.53,2018-05-07
20694,357,8,Q,2018-06-30,-0.24,2018-08-09
20695,357,8,Q,2018-09-30,-0.29,2018-11-06
22644,394,8,A,2017-09-30,6.45,2017-11-06
22645,394,8,A,2018-09-30,7.22,2018-11-08
22781,394,8,Q,2016-12-31,1.61,2017-01-19
22782,394,8,Q,2017-03-31,1.45,2017-04-27
22783,394,8,Q,2017-06-30,1.57,2017-07-20
22784,394,8,Q,2017-09-30,1.82,2017-11-06
22785,394,8,Q,2017-12-31,2.0,2018-02-05
22786,394,8,Q,2018-03-31,1.64,2018-05-03
22787,394,8,Q,2018-06-30,1.64,2018-07-19
22788,394,8,Q,2018-09-30,1.94,2018-11-08
22831,395,8,A,2016-12-31,-4.94,2017-01-25
22832,395,8,A,2017-12-31,-4.61,2018-02-05
22968,395,8,Q,2016-12-31,-1.01,2017-01-25
22969,395,8,Q,2017-03-31,-1.07,2017-04-26
22970,395,8,Q,2017-06-30,-1.46,2017-07-26
22971,395,8,Q,2017-09-30,-1.07,2017-10-25
22972,395,8,Q,2017-12-31,-1.01,2018-02-05
22973,395,8,Q,2018-03-31,-0.27,2018-04-25
22974,395,8,Q,2018-06-30,-0.23,2018-07-25
22975,395,8,Q,2018-09-30,0.38,2018-10-31
23289,403,8,A,2016-12-31,1.29,2017-03-01
23290,403,8,A,2017-12-31,1.43,2018-01-23
23375,403,8,Q,2016-12-31,-9999.0,2017-03-01
23376,403,8,Q,2017-03-31,-9999.0,2017-05-10
23377,403,8,Q,2017-06-30,-9999.0,2017-08-09
23378,403,8,Q,2017-09-30,-9999.0,2017-11-08
23379,403,8,Q,2017-12-31,-9999.0,2018-01-23
23380,403,8,Q,2018-03-31,-9999.0,2018-05-09
23381,403,8,Q,2018-06-30,-9999.0,2018-08-08
23382,403,8,Q,2018-09-30,-9999.0,2018-11-07
23819,409,8,A,2017-06-30,,2017-09-28
23820,409,8,A,2018-06-30,,2018-09-28
23938,409,8,Q,2016-12-31,,2017-02-14
23939,409,8,Q,2017-03-31,,2017-05-15
23940,409,8,Q,2017-06-30,,2017-09-28
23941,409,8,Q,2017-09-30,,2017-11-13
23942,409,8,Q,2017-12-31,,2018-02-14
23943,409,8,Q,2018-03-31,,2018-05-15
23944,409,8,Q,2018-06-30,,2018-09-28
23945,409,8,Q,2018-09-30,-9999.0,2018-11-14
24726,430,8,A,2016-12-31,0.36,2017-02-14
24727,430,8,A,2017-12-31,2.34,2018-02-08
24858,430,8,Q,2016-12-31,-2.72,2017-02-14
24859,430,8,Q,2017-03-31,1.36,2017-05-03
24860,430,8,Q,2017-06-30,1.53,2017-08-02
24861,430,8,Q,2017-09-30,-1.22,2017-11-02
24862,430,8,Q,2017-12-31,0.57,2018-02-08
24863,430,8,Q,2018-03-31,1.04,2018-05-02
24864,430,8,Q,2018-06-30,1.05,2018-08-02
24865,430,8,Q,2018-09-30,-0.34,2018-10-31
25624,446,8,A,2017-05-31,1.52,2017-07-11
25625,446,8,A,2018-05-31,1.79,2018-07-10
25761,446,8,Q,2017-02-28,0.39,2017-03-21
25762,446,8,Q,2017-05-31,0.5,2017-07-11
25763,446,8,Q,2017-08-31,0.31,2017-09-19
25764,446,8,Q,2017-11-30,0.35,2017-12-21
25765,446,8,Q,2018-02-28,0.49,2018-03-20
25766,446,8,Q,2018-05-31,0.54,2018-07-10
25767,446,8,Q,2018-08-31,0.54,2018-09-25
25787,447,8,A,2016-12-31,1.1,2017-02-08
25788,447,8,A,2017-12-31,1.49,2018-02-15
25865,447,8,Q,2016-12-31,0.25,2017-02-08
25866,447,8,Q,2017-03-31,0.56,2017-04-19
25867,447,8,Q,2017-06-30,-0.02,2017-07-17
25868,447,8,Q,2017-09-30,0.62,2017-10-17
25869,447,8,Q,2017-12-31,0.33,2018-02-15
25870,447,8,Q,2018-03-31,0.52,2018-04-18
25871,447,8,Q,2018-06-30,0.1,2018-07-25
25872,447,8,Q,2018-09-30,0.52,2018-10-24
26232,459,8,A,2016-12-31,2.67,2017-02-02
26233,459,8,A,2017-12-31,1.96,2018-02-01
26323,459,8,Q,2016-12-31,1.03,2017-02-02
26324,459,8,Q,2017-03-31,0.07,2017-04-27
26325,459,8,Q,2017-06-30,0.1,2017-07-27
26326,459,8,Q,2017-09-30,0.11,2017-10-26
26327,459,8,Q,2017-12-31,1.67,2018-02-01
26328,459,8,Q,2018-03-31,0.52,2018-05-07
26329,459,8,Q,2018-06-30,0.02,2018-08-02
26330,459,8,Q,2018-09-30,3.61,2018-11-01
26424,462,8,A,2016-12-31,2.74,2017-01-26
26425,462,8,A,2017-12-31,3.06,2018-01-25
26555,462,8,Q,2016-12-31,0.66,2017-01-26
26556,462,8,Q,2017-03-31,0.4,2017-04-27
26557,462,8,Q,2017-06-30,1.03,2017-07-27
26558,462,8,Q,2017-09-30,0.81,2017-10-26
26559,462,8,Q,2017-12-31,0.82,2018-01-25
26560,462,8,Q,2018-03-31,1.52,2018-05-01
26561,462,8,Q,2018-06-30,0.62,2018-07-26
26562,462,8,Q,2018-09-30,0.78,2018-10-25
26708,466,8,A,2016-12-31,2.7,2017-02-07
26709,466,8,A,2017-12-31,2.62,2018-02-06
26782,466,8,Q,2016-12-31,0.72,2017-02-07
