,Cum_ret,Market_cap,Gap,EAR,Intraday,Revision,Rating,Vol,Distance_high,RSI,AUTOR,MA50,MA150,PE,PE_premium,Sector
"('CPR IM', '11/Nov/2010', '21/Mar/2011', '21/Mar/2011')",0.05523493659328649,2681.8439,0.4562894087780393,1.7686262039361056,1.3123367951580662,-0.0017123287671232893,1.7703385327032288,0.01093376785967232,0.9621212121212129,48.65285779663674,0.39596255380314066,4.198565641388309,7.374683280058931,14.209531023774158,0.036615205127305206,Food & Beverage
"('CPR IM', '04/Aug/2010', '11/Nov/2010', '11/Nov/2010')",0.0573334534127361,2453.8799,-0.1020330951664692,2.701836360008205,2.8038694551746746,-0.029433962264150966,2.731270322272356,0.011973735029475794,0.8780487804878045,52.511958171239385,-1.4933484316304884,1.477587730766523,4.866278931381718,12.490374051180597,-0.09971856110599275,Food & Beverage
"('CPR IM', '13/May/2010', '04/Aug/2010', '04/Aug/2010')",0.04461316631545631,2388.5399,0.585635911717079,2.5552510298976667,1.9696151181805877,0.05657051282051281,2.4986805170771538,0.018433631653930072,0.9133454106280188,60.9724927995415,1.7331460408132495,2.932417430029028,6.820901535807133,14.430350971308947,0.03828845589435148,Food & Beverage
"('CPR IM', '31/Mar/2010', '13/May/2010', '13/May/2010')",0.042064601709406846,2421.9359,-1.6693140423575474,-5.065175751382,-3.3958617090244525,-0.036231884057971044,-5.028943867324029,0.010055969288857098,0.7728342245989307,40.76494683967244,-1.8615959332214567,2.150222484675294,7.568969368307018,14.431280692784515,0.03869720477658434,Food & Beverage
"('CPR IM', '11/Nov/2009', '31/Mar/2010', '31/Mar/2010')",-0.015566476850245925,2076.36,1.9481921200305028,4.480841876070125,2.532649756039622,0.030620907106475893,4.450220968963649,0.015345183830108263,1.0,71.97430759688228,2.4630688842881994,6.771109322109956,12.059462339982472,13.270444259103849,-0.046905712822939205,Food & Beverage
"('CPR IM', '08/May/2007', '11/Sep/2007', '14/May/2008')",-0.027957432825694295,2238.1128,0.3859155769630727,1.4172416878126723,1.0313261108495997,0.008712557603686645,1.4085291302089857,0.007887270432309895,0.41510444563470855,55.23434931030143,0.009281146996185135,1.1117058870902299,0.07109711333386928,16.959337667069125,0.06392056068283836,Food & Beverage
"('BNP FP', '04/Nov/2010', '17/Feb/2011', '17/Feb/2011')",-0.08291609167054304,65157.746,1.9335694015147231,2.426440033273379,0.492870631758656,0.006509694303336338,2.4199303389700426,0.015086419282739657,0.8326873385012918,67.46774562741211,-0.5373765424900736,1.3203524921425571,2.1352018358384406,7.5359595062335885,-0.16539150137490566,Banks
"('BNP FP', '02/Aug/2010', '04/Nov/2010', '04/Nov/2010')",0.013164242247682756,66485.5413,1.2334108036187026,1.6808245264999904,0.4474137228812878,0.0564270596573551,1.6243974668426353,0.03137829943559924,0.8079584775086507,61.77806460959344,2.4221283682412937,5.343837630296277,2.3002909451984133,8.283541186844213,-0.09240317907763851,Banks
"('BNP FP', '06/May/2010', '02/Aug/2010', '02/Aug/2010')",-0.01534363078461165,55176.5531,-0.2515181574384644,-1.0824263561190963,-0.8309081986806319,0.08834522932922105,-1.1707715854483174,0.02329928228190655,0.0,20.7886509705927,-1.9687744591606817,-7.739785713827763,-7.114330686843367,7.613990395814941,-0.1721690458756363,Banks
"('BNP FP', '17/Feb/2010', '06/May/2010', '06/May/2010')",0.035667946414174256,60627.1609,1.458240103308509,1.7445203689887119,0.2862802656802028,-0.0011551790527532205,1.7456755480414652,0.022719222455647805,0.3237294917967187,36.697470338889815,-0.4134620620111161,-2.575104272571017,-2.3981071278235015,9.43452410010158,0.028394250303227286,Banks
"('BNP FP', '05/Nov/2009', '17/Feb/2010', '17/Feb/2010')",-0.030379767077396314,64370.6873,-0.021520349082549406,1.2410067970935441,1.2625271461760934,0.04668380818531773,1.1943229889082263,0.02648735382156492,0.7967527333206097,49.944017557232655,-0.3653103382620575,0.4833589484897634,4.518677112537891,11.035557484329239,0.21329667219254422,Banks
"('BNP FP', '04/Aug/2009', '05/Nov/2009', '05/Nov/2009')",0.01658459218972963,56713.7753,0.7210602884178067,0.14095466612518973,-0.580105622292617,0.03494990834764515,0.10600475777754458,0.022970318918771646,1.0,38.29978090202592,-1.3495735653135095,4.655701549909675,8.061474846274761,11.187108997384822,0.2506139028414349,Banks
"('BNP FP', '06/May/2009', '04/Aug/2009', '04/Aug/2009')",0.04061234064355723,41308.8337,1.645642114676202,1.6193092400636424,-0.02633287461255951,0.11247516648893474,1.5068340735747077,0.044983408367916144,0.9431925187518265,55.87308504354208,1.8963301002214572,6.461522435275431,3.8636694324106062,10.684194485397596,0.20676144124001206,Banks
"('BNP FP', '19/Feb/2009', '06/May/2009', '06/May/2009')",0.49056094726614496,22346.3552,0.2450464504447804,-0.0735706734420018,-0.3186171238867822,-0.11053130929791276,0.03696063585591096,0.06629150969488087,0.06244349854923836,35.111214843009776,-0.40369686257250126,-2.78601546236067,-9.056021303117713,5.516629976864238,-0.3801903786205518,Banks
"('BNP FP', '05/Nov/2008', '19/Feb/2009', '19/Feb/2009')",-0.4120203026592686,52517.9707,-0.03306975901204796,-0.29759380872262065,-0.2645240497105727,-0.10645790970268992,-0.19113589901993072,0.05169632800766281,0.3765063896123294,63.18296269716563,-0.2510878300609964,-1.2041394145398037,-2.3181621971657553,7.600682682248859,-0.16976087354179759,Banks
