Ticker,Date,Revision,Market cap,Volume
037620 KS,2016-11-15,-0.0137354,2260.0032,4.84002024
039030 KS,2017-11-14,-0.048006309,1058.2497,5.80003058
039130 KS,2017-11-02,-0.065545487,1005.07,8.740610342
039490 KS,2017-11-14,0.003763916,1602.759,5.959183779
041510 KS,2017-11-15,0.32346741,697.5158,10.71838281
042660 KS,2017-11-09,0.278453864,1933.0687,43.37492146
042670 KS,2017-11-03,0.029722146,1771.5737,21.04023852
046890 KS,2017-10-25,0.056507942,1456.4213,17.12593215
047040 KS,2017-11-02,0.042984311,2552.2816,6.449621644
047050 KS,2017-10-27,-0.105638664,2136.888,5.906631388
047810 KS,2017-11-15,-0.706920459,4458.3027,60.71119054
048260 KS,2017-11-15,-0.088640508,959.5984,3.536281542
051370 KS,2017-10-26,0.40442517,1164.5663,15.45078299
051600 KS,2017-11-08,-0.080566051,1675.8237,7.216686391
051900 KS,2017-10-24,0.030243776,15628.4225,31.59615918
051910 KS,2017-10-27,0.04464948,24735.6924,98.07372695
053000 KS,2014-11-03,-0.024070935,7492.5172,17.47015491
055550 KS,2017-11-15,0.007237084,20561.9031,43.97069429
056190 KS,2017-11-14,-0.085709437,1499.0833,9.366406003
064420 KS,2012-10-24,-0.154396976,1055.4611,6.534863727
066570 KS,2017-10-11,0.02813172,11658.1086,113.0324879
068270 KS,2017-11-08,-0.029025235,19058.8757,330.7113734
068870 KS,2016-10-26,0.01878756,921.0659,12.08213444
069080 KS,2017-11-13,0.00739326,882.3152,11.66675572
069620 KS,2017-11-14,-0.072872907,1423.5781,12.21323423
069960 KS,2017-11-10,-0.012456499,1921.2969,9.187507856
071050 KS,2017-11-15,0.038331959,3388.3882,9.372696739
073240 KS,2017-11-14,0.012316989,935.1642,9.212142598
078340 KS,2017-11-07,-0.036603866,1439.1865,8.206369591
078930 KS,2017-11-10,-0.027298489,5621.637,10.97504149
079160 KS,2017-11-10,0.13409782,1272.7644,9.438971497
079440 KS,2017-11-13,-0.006425738,3529.4065,10.33446901
079550 KS,2017-11-10,-0.256598318,1423.3319,4.253570466
084990 KS,2017-11-14,0,2165.0887,33.92069218
086280 KS,2017-10-31,-0.009613065,5063.7609,9.41632728
086520 KS,2017-11-29,-0.138018953,740.2742,41.2554908
086790 KS,2017-10-30,0.03159359,12673.0505,35.13795582
086900 KS,2017-11-14,-0.111484743,2465.4285,22.82658824
088350 KS,2017-11-13,-0.03795918,5774.2852,11.89658968
090430 KS,2017-10-30,-0.020939421,16966.1037,79.05469814
090460 KS,2017-10-25,0.222922977,634.2922,20.87183825
091990 KS,2017-11-15,-0.150975379,9557.5869,92.88752326
095610 KS,2017-11-03,0.010564122,656.1917,8.868082135
096770 KS,2017-11-02,0.010491978,16976.4401,43.51991808
097950 KS,2017-11-09,0.085233043,4404.1692,9.249199857
098460 KS,2017-10-24,0.052048769,914.9046,3.345043884
1 HK,2017-08-04,-0.004619036,53539.8029,53.52901458
101 HK,2017-07-27,0.02628259,11126.5973,8.021235848
103140 KS,2017-10-30,-0.088527962,1278.1599,7.889796562
1038 HK,2017-07-20,0.023956631,22334.202,14.85300222
1044 HK,2017-08-24,0.035669138,10171.8943,22.55520343
1055 HK,2017-10-30,-0.021630998,11436.1007,10.97578418
105560 KS,2017-10-27,0.047162825,21836.7974,51.11059452
105630 KS,2017-11-15,0.023568992,991.8838,4.739374625
1071 HK,2017-10-27,0.033596049,6045.4276,3.780885003
108320 KS,2017-11-06,-0.003116221,662.488,5.596120774
108670 KS,2017-10-23,0.00285423,747.3323,3.150068684
1088 HK,2017-10-30,0.086714278,59510.779,38.31619161
1093 HK,2017-11-16,0.006055044,12217.6953,35.77812149
1099 HK,2017-10-30,-0.031360311,12328.0793,23.52902989
11 HK,2017-07-31,0.028106458,41611.8179,14.89140783
1101 TT,2017-11-13,0.022311758,4103.233,4.233624397
1112 HK,2017-08-23,0.072536926,2163.9605,3.657295977
1113 HK,2017-08-03,0.07482599,30742.7252,53.29345363
1114 HK,2017-08-25,0.062434766,13417.2403,64.2720508
111770 KS,2017-11-15,-0.348133537,1345.1802,3.328127679
1128 HK,2017-10-26,0.020251694,13254.2959,21.07418805
114090 KS,2017-11-09,0.030249435,1685.4784,5.442256197
1149 HK,2014-03-25,0.037037037,523.9195,4.882532883
115390 KS,2017-11-06,-0.017647059,1100.2868,7.787094733
1157 HK,2017-10-31,-0.059338184,5012.5508,5.897700384
1169 HK,2017-08-24,0.024770576,7779.2515,11.50826417
1171 HK,2017-10-30,0.047951235,7222.4023,14.10230738
1177 HK,2017-11-09,0.087109844,9750.5086,16.52762386
1186 HK,2017-10-31,0.014356963,23503.8862,10.63883717
119 HK,2017-08-24,0,1801.7993,5.873711189
1193 HK,2017-08-18,-0.002641676,8300.9952,11.4526835
12 HK,2017-08-22,0.075494384,24692.4379,18.58009104
