,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner,listing_price,announce_price,discount,firstday_return,Broker_broad,Broker_core,abs_return,rel_return,holding,size,abs_pnl,rel_pnl
RESURS SS,2019-06-04,2019-06-05,2019-06-04,2019-06-05,RESURS SS,Resurs Holding AB,113.641,19.8653,54.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1144.12,2.685185194,4.074074268,1144.12,2.995339336925637,"['Carnegie', 'Morgan Stanley', 'SEB']",55.2409,55.8,-0.032258064516129004,0.022979629629629628,True,True,0.022979629629629628,0.021041720711348688,1,599.0678673851274,13.766357715522307,12.605418752661125
BG AV,2019-05-23,2019-05-24,2019-05-23,2019-05-24,BG AV,BAWAG Group AG,374.373,9.3,36.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",4025.52,4.166666508,4.5,4025.52,2.2349997471373513,"['Citi', 'Goldman Sachs', 'Morgan Stanley']",36.998,40.18,-0.10403185664509706,0.027722222222222204,True,True,0.027722222222222204,0.02065922630974315,1,446.99994942747026,12.391831931350417,9.234673115665851
SKG ID,2019-05-22,2019-05-22,2019-05-22,2019-05-22,SKG ID,Smurfit Kappa Group PLC,197.794,7.049,25.15,"ADDL,Secondary Share Offering,PE Exit,Accelerated Bookbuild",6664.53,1.78926599,-0.5964199901,6664.53,17.415570877802374,['Goldman Sachs'],26.0786,26.36,-0.045902883156297425,0.036922465208747646,True,True,0.0,0.011447303353206983,5,3483.114175560475,0.0,39.872264581496204
VNA GR,2019-05-13,2019-05-21,2019-05-13,2019-05-21,VNA GR,Vonovia SE,836.053,16.5,45.1,"ADDL,Primary Share Offering,Accelerated Bookbuild,Private Placement",0.0,5.764970303,4.478939056,27135.6633,74.77978273219435,"['Credit Suisse', 'JP Morgan', 'Morgan Stanley']",47.6305,46.62,-0.03260403260403255,0.05610864745011068,True,True,0.04750110864744994,0.04251167425879676,2,5000.0,237.5055432372497,212.5583712939838
CPR IM,2019-05-13,2019-05-13,2019-05-13,2019-05-13,CPR IM,Davide Campari-Milano SpA,68.9476,6.9031,8.89,"ADDL,Secondary Share Offering,Accelerated Bookbuild",11601.9,1.687285185,2.249714851,11601.9,22.793504659679005,['Goldman Sachs'],9.1636,9.16,-0.029475982532751077,0.030776152980877436,True,True,0.012193475815523103,0.01026802413979322,2,1378.952,16.814217862767215,14.15911242361614
FBK IM,2019-05-07,2019-05-08,2019-05-07,2019-05-08,FBK IM,FinecoBank Banca Fineco SpA,1133.65,103.515,9.8,"ADDL,Secondary Share Offering,Accelerated Bookbuild",6668.52,3.469385624,1.836732745,6668.52,29.355883037724837,"['UniCredit', 'JP Morgan', 'UBS']",10.0725,10.25,-0.04390243902439017,0.027806122448979398,True,True,0.027806122448979398,0.023072443351259686,1,5000.0,139.030612244897,115.36221675629844
ADYEN NA,2019-05-02,2019-05-03,2019-05-02,2019-05-03,ADYEN NA,Adyen NV,838.319,1.1029,680.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",22531.8,-2.941176414,-2.441176414,22531.8,48.78338757446341,"['JP Morgan', 'Morgan Stanley']",676.9701,708.0,-0.039548022598870025,-0.004455735294117691,True,True,-0.004455735294117691,-0.008339447492413443,1,5000.0,-22.278676470588454,-41.697237462067214
SXX LN,2019-04-30,2019-05-23,2019-04-30,2019-05-23,SXX LN,Sirius Minerals PLC,383.911,1962.43,15.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1369.1,2.666666746,1.0,1369.1,7.415496845735192,"['JP Morgan', 'Liberum Capital Ltd']",15.4797,17.42,-0.13892078071182556,0.0319799999999999,True,True,0.021046666666666658,0.026917235818507468,3,1483.0993691470385,31.214298055981324,39.92093546161049
ETO LN,2019-04-11,2019-04-16,2019-04-11,2019-04-16,ETO LN,Entertainment One Ltd,169.936,28.9,450.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",2907.62,3.822222233,4.266666889,2907.62,4.221318996304499,"['Investec', 'JP Morgan']",464.8983,476.8,-0.05620805369127524,0.03310733333333338,True,True,0.03310733333333338,0.02936870138281078,1,844.2637992608998,27.951323023397066,24.79493140881067
BFSA GR,2019-04-04,2019-04-05,2019-04-04,2019-04-05,BFSA GR,Befesa SA,187.806,4.5,37.2,"ADDL,Secondary Share Offering,VC Backed,VC Exit,Accelerated Bookbuild",1421.25,1.478492498,0.8064495325,1421.25,1.4530633849979175,"['Citi', 'Goldman Sachs', 'JP Morgan']",37.9694,38.7,-0.03875968992248058,0.020682795698924616,True,True,0.020682795698924616,0.019073233621834218,1,290.6126769995835,6.010682625899955,5.542923481879704
AZN LN,2019-03-28,2019-03-29,2019-03-28,2019-03-29,AZN LN,AstraZeneca PLC,3510.31,44.3862,6050.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",103114.0,1.818181872,1.966942191,103114.0,168.77045807027096,"['Goldman Sachs', 'Morgan Stanley']",6141.7047,6496.0,-0.06865763546798032,0.0151578016528926,True,True,0.0151578016528926,0.005694772821073668,1,5000.0,75.78900826446299,28.473864105368342
RESURS SS,2019-03-14,2019-03-15,2019-03-14,2019-03-15,RESURS SS,Resurs Holding AB,93.3917,15.0,58.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1255.21,0.5172413588,0.8620689511,1255.21,1.7002833564562119,"['Carnegie', 'Morgan Stanley']",58.2794,60.95,-0.048400328137817916,0.0048172413793103885,True,True,0.0048172413793103885,-0.008363370404545378,1,340.0566712912424,1.638135068254724,-2.8440199005453928
ADYEN NA,2019-03-11,2019-03-12,2019-03-11,2019-03-12,ADYEN NA,Adyen NV,1686.3,2.5,600.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",20019.8,3.799999952,10.66666698,20019.8,67.63627592565722,"['ABN Amro Bank NV', 'Bank of America Merrill Lynch', 'Citi', 'JP Morgan', 'Morgan Stanley']",622.9481,656.2,-0.08564462054251754,0.03824683333333323,True,True,0.03824683333333323,0.03839511867063705,1,5000.0,191.23416666666614,191.97559335318525
