Ticker,Date,Orig date,Market cap,Volume,Quarter,Supersector,Sector
1COV GR,2017-02-20,2017-02-20,14849.1008,25.95002776274999,2016:A,Chemicals,Chemicals
MRO LN,2016-03-03,2016-03-03,688.9131,22.23499744148582,2015:A,Construction & Materials,Construction & Materials
DOM SS,2017-02-09,2017-02-09,2307.1493,4.708364048743281,2016:A,Personal & Household Goods,Leisure Goods
CYBG LN,2016-05-24,2016-05-24,3183.7382,3.437589999762141,2016:S1,Banks,Banks
BEZ LN,2016-02-04,2016-02-04,2748.8942,3.003105655702551,2015:A,Insurance,Nonlife Insurance
NXG LN,2016-05-16,2016-05-16,4259.8331,4.0604308847074355,2016:A,Financial Services,Financial Services
MTRO LN,2017-02-22,2017-02-22,3537.288,3.1137432811124457,2016:A,Banks,Banks
LIGHT NA,2017-01-23,2017-01-23,3620.3625,3.582191587199999,2016:A,Industrial Goods & Services,Electronic & Electrical Equipment
IG IM,2017-03-24,2017-03-24,3578.9338,9.58767745056,2016:A,Utilities,"Gas, Water & Multiutilities"
IGY GR,2017-03-13,2017-03-13,20607.3791,12.692915732373336,2016:A,Utilities,"Gas, Water & Multiutilities"
ABI BB,2017-03-02,2017-03-02,214899.3988,123.13490334786663,2016:A,Food & Beverage,Beverages
EXO IM,2016-08-29,2016-08-29,9698.991,10.893835086206899,2016:S1,Financial Services,Financial Services
IWG LN,2016-03-01,2016-03-01,3843.5299,6.81634018778421,2015:A,Industrial Goods & Services,Support Services
BAMI IM,2017-02-13,2017-02-10,3786.425,91.49664334983999,2016:A,Banks,Banks
BIRG ID,2016-02-22,2016-02-22,9279.4572,24.39562248400883,2015:A,Banks,Banks
ADN LN,2015-11-30,2015-11-30,6328.861,17.090374588630162,2015:A,Financial Services,Financial Services
AMFW LN,2016-03-10,2016-03-10,2661.3439,21.507101589715347,2015:A,Oil & Gas,"Oil Equipment, Services & Distribution"
ASCL LN,2016-03-14,2016-03-14,1375.7193,4.954007493619269,2015:A,Media,Media
ATLN SW,2016-07-21,2016-07-21,19655.3868,49.15076095795471,2016:S1,Health Care,Pharmaceuticals & Biotechnology
BME SM,2017-02-28,2017-02-28,2607.7618,4.139146953744444,2016:A,Financial Services,Financial Services
BRSN LN,2016-02-26,2016-02-26,2753.903,4.785893641915374,2015:A,Industrial Goods & Services,Support Services
CLLN LN,2016-03-03,2016-03-03,1770.8868,5.593081201413132,2015:A,Industrial Goods & Services,Support Services
DB11 GR,2017-02-16,2017-02-15,16927.1564,28.68974399288889,2016:A,Financial Services,Financial Services
DL NA,2016-02-24,2016-02-24,1335.7311,24.39797162416565,2015:A,Insurance,Life Insurance
DRX LN,2016-02-23,2016-02-23,1357.7969,5.7692694462529515,2015:A,Utilities,Electricity
EBRO SM,2017-03-01,2017-02-28,3131.3834,3.049256589022222,2016:A,Food & Beverage,Food Producers
FIE GR,2017-02-23,2017-02-23,6151.1733,7.225431597038889,2016:A,Retail,General Retailers
HGG LN,2016-07-28,2016-07-28,3315.8162,9.608174345508974,2016:S1,Financial Services,Financial Services
IIA AV,2016-07-28,2016-07-27,2254.7583,5.08974087441111,2016:A,Real Estate,Real Estate Investment & Services
NIBEB SS,2017-02-16,2017-02-16,4122.2021,7.112648603694851,2016:A,Construction & Materials,Construction & Materials
ORI SS,2017-02-16,2017-02-16,2042.7072,3.2099329703356116,2016:A,Personal & Household Goods,Personal Goods
PAYS LN,2016-03-16,2016-03-16,2812.9368,17.324142401521666,2015:A,Industrial Goods & Services,Support Services
POP SM,2016-10-28,2016-10-28,4641.8675,43.829858130964446,2016:Q3,Banks,Banks
SAZ GR,2017-03-01,2017-03-01,3757.5599,22.288534150377778,2016:A,Health Care,Pharmaceuticals & Biotechnology
SFR FP,2017-03-09,2017-03-08,12889.6439,5.332004526444442,2016:A,Telecommunications,Mobile Telecommunications
