,2018-09-28 00:00:00,ticker,date,holding,size,revision
"('LDL US', '01/Aug/2018', None, None)",-0.035469131833801626,LDL US,01/Aug/2018,40,0.004733595486614852,-0.04763483106731997
"('MWA US', '07/Aug/2018', None, None)",-0.034211969701968714,MWA US,07/Aug/2018,38,0.0048144495709622525,-0.039631630539525745
"('PRIM US', '07/Aug/2018', None, None)",-0.03202243533374449,PRIM US,07/Aug/2018,38,0.004392526476780528,0.03906476323885872
"('APOG US', '18/Sep/2018', None, None)",-0.030510129036848577,APOG US,18/Sep/2018,8,0.005837842819011877,-0.06660058696217765
"('UNFI US', '21/Sep/2018', None, None)",-0.027886001136156247,UNFI US,21/Sep/2018,5,0.004538331085560117,-0.0304740406320542
"('BIG US', '31/Aug/2018', None, None)",-0.026837527379463544,BIG US,31/Aug/2018,20,0.003569373314340609,-0.026938761539665124
"('INE CN', '14/Aug/2018', None, None)",-0.025482594486559207,INE CN,14/Aug/2018,33,0.005290609528560021,-0.10167029774872917
"('PRAA US', '08/Aug/2018', None, None)",-0.025377651315522165,PRAA US,08/Aug/2018,37,0.003220046664772998,-0.160844515618385
"('BSIG US', '02/Aug/2018', None, None)",-0.024185154860719593,BSIG US,02/Aug/2018,40,0.003674658435583626,-0.018015690002045955
"('CMRE US', '25/Jul/2018', None, None)",-0.02383015786109166,CMRE US,25/Jul/2018,40,0.0028588183576091324,0.04482630946900222
"('TUP US', '25/Jul/2018', None, None)",-0.023530935153123655,TUP US,25/Jul/2018,40,0.0022667758931484094,-0.048707134102896135
"('EEX US', '02/Aug/2018', None, None)",-0.023332357535180925,EEX US,02/Aug/2018,40,0.007654914644546326,-0.011474756757153095
"('HBM CN', '01/Aug/2018', None, None)",-0.02271793536286315,HBM CN,01/Aug/2018,40,0.002129158208923544,-0.19932189728583694
"('HRI US', '08/Aug/2018', None, None)",-0.02116824961790431,HRI US,08/Aug/2018,37,0.002794176357888303,-0.002423383396530577
"('MATW US', '27/Jul/2018', None, None)",-0.021158052575950714,MATW US,27/Jul/2018,40,0.004602196409863206,-0.0041889690481731485
"('FOSL US', '08/Aug/2018', None, None)",-0.019060704105356763,FOSL US,08/Aug/2018,37,0.001300274434656867,2.30186318131257
"('DPLO US', '07/Aug/2018', None, None)",-0.01906038115116404,DPLO US,07/Aug/2018,38,0.001876432672793679,-0.10175252596927384
"('MGLN US', '27/Jul/2018', None, None)",-0.01833647649417902,MGLN US,27/Jul/2018,40,0.0038759722977216747,-0.12782636243345674
"('FR CN', '13/Aug/2018', None, None)",-0.017434477832283468,FR CN,13/Aug/2018,34,0.0020141905076043734,-1.110846560846561
"('ANIP US', '07/Aug/2018', None, None)",-0.017422664730976534,ANIP US,07/Aug/2018,38,0.003779470497166825,-0.11674399760772478
"('LB CN', '04/Sep/2018', None, None)",-0.01500710545654882,LB CN,04/Sep/2018,18,0.007523022812288725,-0.08458331240086987
