,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner
SJ CN,2018-07-26,2018-07-26,2018-07-26,2018-07-26,SJ CN,Stella-Jones Inc,408.287,13.1269,40.63,"ADDL,Secondary Share Offering,Private Placement",0.0,9.918776512,7.703664303,2426.1179,7.262148321741489,TD Securities
SJ CN,2018-07-26,2018-07-26,2018-07-26,2018-07-26,SJ CN,Stella-Jones Inc,262.694,8.4459,40.63,"ADDL,Secondary Share Offering,Bought Deal,REG S,Rule 144A",0.0,9.918776512,7.703664303,2426.1179,7.262148321741489,TD Securities
ATZ CN,2018-07-18,2018-07-18,2018-07-18,2018-07-18,ATZ CN,Aritzia Inc,75.9635,6.05,16.55,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Bought Deal",791.002,-3.3232584,-3.444104195,791.002,5.331923151259309,"RBC Capital Markets, CIBC"
TSGI CN,2018-06-18,2018-06-21,2018-06-18,2018-06-21,TSGI CN,Stars Group Inc/The,1092.5,25.0,38.0,"ADDL,Primary Share Offering,Secondary Share Offering,Dual Listing",0.0,-2.118522406,-6.373378277,5496.0671,42.23309648712725,"Barclays, BMO Capital Markets, Deutsche Bank, Goldman Sachs, JP Morgan, Macquarie, Morgan Stanley"
RNW CN,2018-06-13,2018-06-13,2018-06-13,2018-06-13,RNW CN,TransAlta Renewables Inc,115.727,11.86,12.65,"ADDL,Primary Share Offering,Bought Deal",2560.17,-1.264819145,-1.739127517,2560.17,4.624571142638975,"RBC Capital Markets, Scotiabank, CIBC"
APHA CN,2018-06-06,2018-06-06,2018-06-06,2018-06-06,APHA CN,Aphria Inc,200.07,18.9874,11.85,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",2114.37,4.641346931,0.1687731445,2114.37,52.332607129523126,Clarus Securities
BNS CN,2018-05-31,2018-05-31,2018-05-31,2018-05-31,BNS CN,Bank of Nova Scotia/The,1331.57,19.7,76.15,"ADDL,Primary Share Offering,Bought Deal",0.0,0.1969776452,-0.3808293045,73052.7685,194.60500529858487,Scotiabank
AQN CN,2018-04-24,2018-04-24,2018-04-24,2018-04-24,AQN CN,Algonquin Power & Utilities Co,346.41,37.5,11.85,"ADDL,Primary Share Offering,Private Placement",0.0,5.569616795,4.556958675,4569.0143,27.249039927508473,
STLC CN,2018-03-28,2018-03-28,2018-03-28,2018-03-28,STLC CN,Stelco Holdings Inc,168.709,10.0,21.75,"ADDL,Secondary Share Offering,Bought Deal",0.0,-0.5977011323,-1.057471275,1569.3257,1.9058321554714475,"Goldman Sachs, BMO Capital Markets"
CRON CN,2018-03-21,2018-03-21,2018-03-21,2018-03-21,CRON CN,Cronos Group Inc,88.8111,10.42,9.6,"ADDL,Primary Share Offering,Bought Deal",1286.74,-23.85416985,-25.72916985,1286.74,21.71068241891199,"BMO Capital Markets, GMP Securities"
BBD/B CN,2018-03-05,2018-03-05,2018-03-05,2018-03-05,BBD/B CN,Bombardier Inc,491.909,168.0,3.8,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",0.0,-0.5263145566,-0.2631566525,6899.636,65.88398933794413,"National Bank Financial Inc, TD Securities, UBS, Credit Suisse"
9944556D CN,2018-02-26,2018-02-26,2018-02-26,2018-02-26,9944556D CN,Industrial Alliance Insurance,117.275,2.5,54.1,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",0.0,-1.256928802,0.4436257482,4679.7424,14.426020198160415,"National Bank Financial Inc, TD Securities"
IAG CN,2018-02-26,2018-02-26,2018-02-26,2018-02-26,IAG CN,iA Financial Corp Inc,117.275,2.5,54.1,"ADDL,Primary Share Offering,Bought Deal,REG S",0.0,-1.256928802,0.4436257482,4679.7424,14.426020198160415,"National Bank Financial Inc, TD Securities"
SHOP CN,2018-02-20,2018-02-21,2018-02-20,2018-02-21,SHOP CN,Shopify Inc,657.6,4.8,137.0,"ADDL,Primary Share Offering",0.0,0.7452987432,-0.6594588161,14333.3942,72.96417929463887,"Morgan Stanley, Credit Suisse"
CHR CN,2018-02-20,2018-02-20,2018-02-20,2018-02-20,CHR CN,Chorus Aviation Inc,88.7313,11.628,8.6,"ADDL,Primary Share Offering,Bought Deal",942.876,-1.976748586,-4.069771767,942.876,4.83119504455283,"CIBC, RBC Capital Markets"
SJ CN,2018-01-31,2018-01-31,2018-01-31,2018-01-31,SJ CN,Stella-Jones Inc,196.882,5.0,48.5,"ADDL,Secondary Share Offering,Bought Deal,Rule 144A",0.0,-0.70103091,-0.6804123521,2915.667,4.845596299850383,"Morgan Stanley, TD Securities"
TXG CN,2018-01-29,2018-01-29,2018-01-29,2018-01-29,TXG CN,Torex Gold Resources Inc,51.3305,4.37,12.6,"ADDL,Primary Share Offering,Bought Deal",0.0,-6.984129906,-4.12698698,913.3705,8.874593328649986,BMO Capital Markets
SIA CN,2018-01-22,2018-01-22,2018-01-22,2018-01-22,SIA CN,Sienna Senior Living Inc,147.674,9.066,17.65,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",898.018,-1.303114057,-1.246456742,898.018,3.405238671278219,TD Securities
