VOW GR,2018-02-22,-0.02991142963894585
VIV FP,2017-08-31,-0.026158863403447773
LONN SW,2016-07-06,-0.025948731098528643
ATO FP,2016-07-26,-0.02585651538633267
EDF FP,2017-09-06,-0.02565032856706096
CTT PL,2015-01-02,-0.02514179915016168
AMZN US,2018-04-26,-0.024803427376272037
GOOG US,2018-06-01,-0.024462612759185487
EZJ LN,2017-10-18,-0.024371165302416765
ELE SM,2015-02-25,-0.02419203810143765
ISP IM,2015-05-08,-0.024123204035459075
RYA LN,2016-11-16,-0.02403384716805771
PEP US,2017-09-14,-0.023549801782802828
NESN SW,2016-04-13,-0.02296749738091153
SESG FP,2018-07-26,-0.022293577961763414
RWE GR,2018-11-05,-0.021621446209207022
SVT LN,2017-03-15,-0.02011339423354389
ATVI US,2016-02-11,-0.019924936685950547
ELE SM,2018-09-25,-0.019459534228764543
SSE LN,2017-03-15,-0.019242744826432942
ENGI FP,2018-01-19,-0.01914939733839698
REL LN,2018-01-11,-0.01897184490536022
L US,2018-07-25,-0.01878525924707535
SLHN SW,2015-04-29,-0.018779298469734675
IBE SM,2018-09-25,-0.018627154467676273
EMR US,2015-05-20,-0.018576692164760406
PPG US,2016-12-20,-0.018571320512140197
CPB US,2015-04-07,-0.018012785055726753
EA US,2018-03-02,-0.01772144604496921
GWW US,2015-03-25,-0.017714440536779848
OMC US,2017-05-30,-0.017205822426356966
VMW US,2018-02-12,-0.017169705231762103
VOW GR,2018-10-29,-0.01706310235601357
BALN SW,2015-04-29,-0.01698687989944748
DL NA,2015-04-29,-0.016540089977004225
FMC US,2018-01-16,-0.016074125329034163
KN FP,2016-11-24,-0.015933604086308062
US IM,2015-08-07,-0.015875560536959214
IBM US,2015-04-21,-0.01513692669712045
ALV GR,2015-02-26,-0.015118962092031644
GIS US,2015-04-07,-0.014783012319533294
CNA LN,2017-03-15,-0.014708072880745916
SHW US,2016-12-20,-0.014546964682838778
VAL US,2015-03-31,-0.014534859381232121
BRBY LN,2018-01-02,-0.01442891976756979
RPM US,2016-12-20,-0.014325655346847307
TKA GR,2017-02-08,-0.014223763030717465
K US,2015-04-07,-0.014138442438732798
AXTA US,2016-10-25,-0.014122505337669487
CLNX SM,2015-08-04,-0.014059004006740443
GDI US,2017-08-02,-0.01394793433810921
LVS US,2017-05-05,-0.013852834592676848
IFF US,2017-02-15,-0.013845676388484525
UCG IM,2017-03-03,-0.013777355731409022
AF FP,2017-05-03,-0.013731988444601715
RPM US,2016-10-25,-0.013586333298418993
HRL US,2018-07-23,-0.013413519180720996
CHTR US,2018-10-16,-0.013108563554965175
WST US,2018-07-03,-0.013042215570593318
CHTR US,2017-09-11,-0.012997185363436928
INTC US,2017-05-11,-0.012989809066274484
RDSA NA,2015-03-27,-0.01295116777051539
UN01 GR,2016-09-12,-0.012899873202858361
ENG SM,2018-01-19,-0.012760452321656726
MS US,2017-10-16,-0.012719676413231521
MUV2 GR,2015-04-29,-0.012710277041050436
AXLL US,2015-01-02,-0.012703936478137322
UU/ LN,2017-03-15,-0.012658801189641725
AXTA US,2016-12-20,-0.012627049611522452
PMI IM,2015-01-19,-0.01262132672182453
KER FP,2018-07-26,-0.012538598316964637
ALV GR,2015-04-29,-0.01234871759277626
CS FP,2015-04-29,-0.012237672518575684
UBSG SW,2016-11-10,-0.012183550859699768
FB US,2017-01-06,-0.012179339737517603
YNAP IM,2015-11-11,-0.012173609551374746
AMAT US,2017-09-28,-0.012069477582942679
XPO US,2017-08-02,-0.012017818850154571
ADM US,2017-02-03,-0.012002117747943157
VIE FP,2018-01-19,-0.01169296000832694
LYB US,2015-07-24,-0.011652237225986834
IBE SM,2018-01-19,-0.011573902581115323
COL US,2016-01-19,-0.011280239630035447
TSE US,2016-05-04,-0.011262752614520978
RBC US,2015-01-02,-0.011168660106855294
HSBA LN,2016-08-02,-0.011105479122828036
CHR DC,2016-09-22,-0.010797936458630534
MS US,2018-04-17,-0.01064331280158784
ETN US,2015-01-02,-0.010637441773910418
IMB LN,2015-08-18,-0.010601803194858407
XXL NO,2015-02-25,-0.010589313132481315
SYNN SW,2015-01-02,-0.01054872179717678
ORSTED DC,2016-08-04,-0.010332560301738174
ADSK US,2018-11-20,-0.01024091890907335
UMI BB,2017-04-24,-0.010219553042791457
HUSQB SS,2015-01-14,-0.010196350847601312
AMZN US,2015-07-24,-0.01006315479767675
DAI GR,2015-01-07,-0.010034187904087926
SEBA SS,2017-04-26,-0.01000389250282548
CCL LN,2016-09-23,-0.009972186817682242
SIE GR,2017-10-18,-0.00996272577197045
BRBY LN,2018-07-10,-0.009955090934922445
PX US,2016-02-10,-0.009941409395288505
SY1 GR,2017-07-05,-0.009900766178166067
SUN SW,2015-06-25,-0.009851503258618033
AENA SM,2017-02-22,-0.009742250868256377
APC US,2016-09-21,-0.009724196919747827
PNN LN,2017-03-15,-0.009679332766884416
UG FP,2018-01-02,-0.009598398543429403
ROK US,2015-01-02,-0.009543508989951587
FB US,2018-04-25,-0.009518826651561072
SQM US,2018-04-17,-0.009483508570792634
AD NA,2017-04-12,-0.009462389984893491
ACA FP,2015-05-06,-0.00943483924892178
DHER GR,2018-02-06,-0.009395889153787473
GE US,2017-05-16,-0.009361677507684716
HRL US,2018-05-18,-0.009353817122479503
IGY GR,2016-11-10,-0.009329743297612696
2914 JP,2017-06-23,-0.009307912599655686
MAT US,2015-03-18,-0.009269367235746746
PPG US,2016-10-25,-0.00913564955054256
ALB US,2018-01-16,-0.009110935158846046
ADSK US,2018-03-05,-0.009103672385516693
