,,,Announced Date,Pricing date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Security type,Market cap
IQ US,2018-02-27,2018-03-29,2018-02-27,2018-03-29,2018-03-29,IQ US,iQIYI Inc,2423.64,125.0,18.0,"IPO,Primary Share Offering,VC Backed",12738.5,1.111111164,-13.61111069,"Goldman Sachs, Bank of America Merrill Lynch, Credit Suisse",ADR,12738.5
CFG US,2014-05-12,2014-09-24,2014-05-12,2014-09-23,2014-09-24,CFG US,Citizens Financial Group Inc,3461.5,140.0,21.5,"IPO,Secondary Share Offering,Government Exit",12040.0,0.0,7.348837376,"NatWest Markets, Morgan Stanley, Goldman Sachs, Wells Fargo, Deutsche Bank, Citi, Barclays, JP Morgan",Common,12040.0
AR US,2013-06-13,2013-10-10,2013-06-13,2013-10-09,2013-10-10,AR US,Antero Resources Corp,1802.41,35.725,44.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,Emerging Growth Company",11687.5,23.06818199,18.20454597,"Wells Fargo, Jefferies, Credit Suisse, JP Morgan, Citi, Barclays",Common,11687.5
EQH US,2017-11-13,2018-05-10,2017-11-13,2018-05-09,2018-05-10,EQH US,AXA Equitable Holdings Inc,3156.75,137.25,20.0,"IPO,Secondary Share Offering",11220.0,-1.25,1.700000048,"Credit Agricole CIB, HSBC, RBC Capital Markets, Natixis, ING Groep, Societe Generale, BNP Paribas, Goldman Sachs, Deutsche Bank, Credit Suisse, Bank of America Merrill Lynch, Citi, Barclays, JP Morgan, Morgan Stanley",Common,11220.0
ADT US,2017-12-21,2018-01-19,2017-12-21,2018-01-18,2018-01-19,ADT US,ADT Inc,1470.0,105.0,14.0,"IPO,Primary Share Offering,PE Backed",10485.3,-9.642857552,-11.5,"Credit Suisse, Bank of America Merrill Lynch, Citi, RBC Capital Markets, Deutsche Bank, Barclays, Morgan Stanley, Goldman Sachs",Common,10485.3
CNF US,2018-07-11,2018-11-07,2018-07-11,2018-11-06,2018-11-07,CNF US,CNFinance Holdings Ltd,52.9538,6.5,7.5,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",10207.4,1.466666698,1.333333373,Roth Capital Partners Inc,ADR,10207.4
RACE US,2015-07-23,2015-10-21,2015-07-23,2015-10-20,2015-10-21,RACE US,Ferrari NV,982.392,17.175,52.0,"IPO,Secondary Share Offering",9823.94,15.38461494,5.769230843,"UBS, Bank of America Merrill Lynch, Allen & Co, Banco Santander, BNP Paribas, JP Morgan, Mediobanca",Common,9823.94
PAGS US,2017-12-26,2018-01-24,2017-12-26,2018-01-23,2018-01-24,PAGS US,Pagseguro Digital Ltd,2605.67,105.386,21.5,"IPO,Primary Share Offering,Secondary Share Offering,Emerging Growth Company",0.0,31.1627903,35.8139534,"Goldman Sachs, Morgan Stanley, Deutsche Bank, Credit Suisse, Bank of America Merrill Lynch, JP Morgan, Banco Itau BBA, Bradesco BBI SA",Class A,8978.239632
ELAN US,2018-08-02,2018-09-20,2018-08-02,2018-09-19,2018-09-20,ELAN US,Elanco Animal Health Inc,1736.04,62.9,24.0,"IPO,Primary Share Offering",8775.0,34.375,50.0,"Cowen & Co, Evercore Partners Inc, Deutsche Bank, Credit Suisse, Citi, BNP Paribas, Barclays, Bank of America Merrill Lynch, Morgan Stanley, Goldman Sachs, JP Morgan",Common,8775.0
LN US,2016-06-10,2016-07-14,2016-06-10,2016-07-11,2016-07-14,LN US,LINE Corp,894.89,22.0,32.84,"IPO,Primary Share Offering,Dual Listing",0.0,27.89281273,26.61388397,"Goldman Sachs, JP Morgan, Morgan Stanley, Nomura",ADR,8731.46754272461
