,,,Announced Date,Pricing date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Security type,Market cap
DOYU US,2019-04-22,2019-07-17,2019-04-22,2019-07-16,2019-07-17,DOYU US,DouYu International Holdings L,774.952,67.3871,11.5,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,Emerging Growth Company",0.0,-4.173913002,0.0,"Morgan Stanley, JP Morgan, Bank of America Merrill Lynch, China Merchants Bank",ADR,3733.1723199999997
CWK US,2018-06-20,2018-08-02,2018-06-20,2018-08-01,2018-08-02,CWK US,Cushman & Wakefield PLC,879.75,45.0,17.0,"IPO,Primary Share Offering,PE Backed",3657.92,5.882352829,4.764705658,"William Blair & Co LLC, Credit Suisse, Citi, Barclays, Bank of America Merrill Lynch, UBS, Goldman Sachs, Morgan Stanley, JP Morgan",Common,3657.92
MRD US,2014-04-04,2014-06-13,2014-04-04,2014-06-12,2014-06-13,MRD US,Range Resources-Louisiana Inc,935.18,42.8,19.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",3657.5,11.89473724,16.63157845,"Wells Fargo, RBC Capital Markets, Raymond James & Associates, Goldman Sachs, BMO Capital Markets, Bank of America Merrill Lynch, Barclays, Citi",Common,3657.5
RLGY US,2012-06-08,2012-10-11,2012-06-08,2012-10-10,2012-10-11,RLGY US,Realogy Holdings Corp,1242.0,40.0,27.0,"IPO,Primary Share Offering,PE Backed",3514.13,21.66666603,26.66666603,"Credit Suisse, Barclays, Goldman Sachs, JP Morgan",Common,3514.13
NXPI US,2010-04-16,2010-08-06,2010-04-16,2010-08-05,2010-08-06,NXPI US,NXP Semiconductors NV,476.0,34.0,14.0,"IPO,Primary Share Offering,VC Backed,PE Backed",3489.51,-7.142857075,0.0,"Goldman Sachs, Morgan Stanley, Credit Suisse, Bank of America Merrill Lynch, Barclays",Common,3489.51
FRC US,2010-11-24,2010-12-09,2010-11-24,2010-12-08,2010-12-09,FRC US,First Republic Bank/CA,322.575,11.0,25.5,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",0.0,6.862745285,9.490196228,"JP Morgan, Morgan Stanley, Bank of America Merrill Lynch",Common,3465.8017578125
MIK US,2013-12-20,2014-06-27,2013-12-20,2014-06-26,2014-06-27,MIK US,Michaels Cos Inc/The,472.223,27.7778,17.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed",3452.77,0.0,0.1176470593,"Wells Fargo, Morgan Stanley, Bank of America Merrill Lynch, Credit Suisse, Deutsche Bank, Barclays, JP Morgan, Goldman Sachs",Common,3452.77
HDS US,2013-04-12,2013-06-27,2013-04-12,2013-06-26,2013-06-27,HDS US,HD Supply Holdings Inc,1101.06,53.1915,18.0,"IPO,Primary Share Offering,PE Backed",3451.48,0.0,3.666666746,"Wells Fargo, UBS, Morgan Stanley, Goldman Sachs, Deutsche Bank, Citi, Credit Suisse, Bank of America Merrill Lynch, JP Morgan, Barclays",Common,3451.48
FI US,2013-05-10,2013-08-09,2013-05-10,2013-08-08,2013-08-09,FI US,Frank's International NV,759.0,30.0,22.0,"IPO,Primary Share Offering",3377.53,23.86363602,19.81818199,"UBS, Goldman Sachs, Morgan Stanley, Citi, Simmons & Co International, Barclays, Credit Suisse",Common,3377.53
SNDR US,2016-12-22,2017-04-06,2016-12-22,2017-04-05,2017-04-06,SNDR US,Schneider National Inc,612.75,28.947,19.0,"IPO,Primary Share Offering,Secondary Share Offering",3297.23,2.631578922,0.0,"UBS, Morgan Stanley, Bank of America Merrill Lynch, Citi, Credit Suisse, JP Morgan, Wells Fargo",Class B,3297.23
TUDO US,2010-11-09,2011-08-17,2010-11-09,2011-08-16,2011-08-17,TUDO US,Tudou Holdings Ltd,174.0,6.0,29.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,PE Backed",3289.35,-13.41379356,-11.86206913,"Credit Suisse, Deutsche Bank",ADR,3289.35
FHB US,2016-07-08,2016-08-04,2016-07-08,2016-08-03,2016-08-04,FHB US,First Hawaiian Inc,557.75,21.087,23.0,"IPO,Secondary Share Offering,Emerging Growth Company",3280.32,5.217391491,5.434782505,"BNP Paribas, Goldman Sachs, Bank of America Merrill Lynch, Morgan Stanley, Citi, UBS, Deutsche Bank, Barclays, Credit Suisse, JP Morgan",Common,3280.32
YNDX US,2011-04-28,2011-05-24,2011-04-28,2011-05-23,2011-05-24,YNDX US,Yandex NV,1434.79,52.1741,25.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",3268.53,40.0,55.36000061,"Deutsche Bank, Morgan Stanley, Goldman Sachs",Class A,3268.53
LPLA US,2010-06-04,2010-11-18,2010-06-04,2010-11-17,2010-11-18,LPLA US,LPL Financial Holdings Inc,516.696,15.6575,30.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",3215.52,10.16666698,7.166666508,"JP Morgan, Bank of America Merrill Lynch, Goldman Sachs, Morgan Stanley",Common,3215.52
BILI US,2018-03-02,2018-03-28,2018-03-02,2018-03-28,2018-03-28,BILI US,Bilibili Inc,483.0,42.0,11.5,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",3202.55,-14.78260899,-2.260869503,"Morgan Stanley, Bank of America Merrill Lynch, JP Morgan",ADR,3202.55
FENG US,2011-04-21,2011-05-12,2011-04-21,2011-05-12,2011-05-12,FENG US,Phoenix New Media Ltd,161.509,12.7675,11.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit",3201.22,0.9090909362,34.09090805,"Deutsche Bank, Morgan Stanley, Macquarie",ADR,3201.22
JAG US,2016-12-19,2017-01-27,2016-12-19,2017-01-26,2017-01-27,JAG US,Jagged Peak Energy Inc,473.985,31.599,15.0,"IPO,Primary Share Offering,Secondary Share Offering,Emerging Growth Company",3194.07,-6.0,-4.466666698,"Wells Fargo, RBC Capital Markets, Goldman Sachs, JP Morgan, Credit Suisse, Citi",Common,3194.07
FPH US,2017-04-07,2017-05-10,2017-04-07,2017-05-09,2017-05-10,FPH US,Five Point Holdings LLC,338.1,21.0,14.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",3143.38,8.571428299,7.428571224,"Citi, JP Morgan, RBC Capital Markets, Wells Fargo, Deutsche Bank, Evercore Partners Inc, Zelman Partners LLC, JMP Group LLC",Class A,3143.38
MOR US,2018-03-22,2018-04-19,2018-03-22,2018-04-18,2018-04-19,MOR US,MorphoSys AG,239.007,8.3,25.04,"IPO,Primary Share Offering,Emerging Growth Company",0.0,4.472839832,5.071881294,"JP Morgan, Goldman Sachs, SVB Leerink LLC",ADR,3096.2434133999996
CNV US,2014-06-04,2014-11-20,2014-06-04,2014-11-19,2014-11-20,CNV US,Cnova NV,204.101,26.8,7.0,"IPO,Primary Share Offering",3072.41,9.0,2.1428570750000002,"JP Morgan, Morgan Stanley, Deutsche Bank, Credit Suisse, Bank of America Merrill Lynch",Common,3072.41
PTHN US,2015-06-08,2016-07-21,2015-06-08,2016-07-20,2016-07-21,PTHN US,Patheon BV,718.75,29.7619,21.0,"IPO,Primary Share Offering,Secondary Share Offering",3046.56,19.04761887,19.0,"Wells Fargo, Evercore Partners Inc, Credit Suisse, UBS, Jefferies, Morgan Stanley, JP Morgan",Common,3046.56
CDAY US,2018-03-26,2018-04-26,2018-03-26,2018-04-25,2018-04-26,CDAY US,Ceridian HCM Holding Inc,531.3,21.0,22.0,"IPO,Primary Share Offering,PE Backed,Dual Listing,Emerging Growth Company",3037.17,31.36363602,41.86363602,"Wells Fargo, CIBC, Jefferies, Citi, Barclays, Deutsche Bank, Credit Suisse, JP Morgan, Goldman Sachs",Common,3037.17
UNVR US,2014-06-27,2015-06-18,2014-06-27,2015-06-17,2015-06-18,UNVR US,Univar Inc,885.5,35.0,22.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",3034.55,9.545454979,15.45454502,"Morgan Stanley, JP Morgan, Jefferies, Credit Suisse, Barclays, Bank of America Merrill Lynch, Deutsche Bank, Goldman Sachs",Common,3034.55
CBOE US,2010-03-11,2010-06-15,2010-03-11,2010-06-14,2010-06-15,CBOE US,Cboe Global Markets Inc,390.195,11.7,29.0,"IPO,Primary Share Offering,Secondary Share Offering",3025.31,13.10344791,12.03448296,"Goldman Sachs, Citi, Citadel Investment Group LLC, UBS, JP Morgan, Barclays, Bank of America Merrill Lynch",Common,3025.31
SQ US,2015-10-14,2015-11-19,2015-10-14,2015-11-18,2015-11-19,SQ US,Square Inc,279.45,27.0,9.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,PE Backed,Emerging Growth Company",2951.5,24.44444466,45.22222137,"JP Morgan, Stifel, RBC Capital Markets, Jefferies, Deutsche Bank, Barclays, Morgan Stanley, Goldman Sachs",Class A,2951.5
CDW US,2013-03-22,2013-06-27,2013-03-22,2013-06-26,2013-06-27,CDW US,CDW Corp/DE,454.538,23.25,17.0,"IPO,Primary Share Offering,PE Backed",2923.29,3.764705896,8.058823586,"Morgan Stanley, Deutsche Bank, Goldman Sachs, Barclays, JP Morgan",Common,2923.29
PAGP US,2013-07-29,2013-10-16,2013-07-29,2013-10-15,2013-10-16,PAGP US,Plains GP Holdings LP,2912.41,128.0,22.0,"IPO,Primary Share Offering,PE Backed",2912.4,3.409090996,0.0,"Barclays, Goldman Sachs, JP Morgan, Citi, Bank of America Merrill Lynch, UBS, Wells Fargo",Class A,2912.4
STNE US,2018-10-01,2018-10-25,2018-10-01,2018-10-24,2018-10-25,STNE US,StoneCo Ltd,1400.0,50.7246,24.0,"IPO,Primary Share Offering,Secondary Share Offering,Emerging Growth Company",2881.15,33.33333206,30.625,"Citi, Goldman Sachs, JP Morgan, Banco BTG Pactual, Bank of America Merrill Lynch, Morgan Stanley, Credit Suisse, Banco Itau BBA",Class A,2881.15
PANW US,2012-04-06,2012-07-20,2012-04-06,2012-07-19,2012-07-20,PANW US,Palo Alto Networks Inc,299.46,6.2,42.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,Emerging Growth Company",2836.32,31.30952454,26.5,"Morgan Stanley, Goldman Sachs, Citi, Credit Suisse, Barclays, UBS, Raymond James & Associates",Common,2836.32
RICE US,2013-12-16,2014-01-24,2013-12-16,2014-01-23,2014-01-24,RICE US,EQT RE Merger Sub Inc,1050.0,44.0,21.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",2804.0,4.285714149,4.285714149,"RBC Capital Markets, BMO Capital Markets, Wells Fargo, Goldman Sachs, Citi, Barclays",Common,2804.0
XOG US,2016-09-14,2016-10-12,2016-09-14,2016-10-11,2016-10-12,XOG US,Extraction Oil & Gas Inc,728.333,33.3333,19.0,"IPO,Primary Share Offering,PE Backed,Accelerated Bookbuild,Emerging Growth Company",2789.09,19.7368412,15.0,"Wells Fargo, SunTrust Robinson Humphrey, RBC Capital Markets, KeyBanc Capital Markets, Goldman Sachs, Citi, Barclays, Credit Suisse",Common,2789.09
COMM US,2013-08-02,2013-10-25,2013-08-02,2013-10-24,2013-10-25,COMM US,CommScope Holding Co Inc,625.248,38.4615,15.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",2784.81,0.0,-0.06666667014,"Wells Fargo, RBC Capital Markets, Morgan Stanley, Jefferies, Goldman Sachs, Credit Suisse, Barclays, Bank of America Merrill Lynch, JP Morgan, Deutsche Bank",Common,2784.81
NK US,2015-06-19,2015-07-28,2015-06-19,2015-07-27,2015-07-28,NK US,NantKwest Inc,238.28,8.288,25.0,"IPO,Primary Share Offering,Emerging Growth Company",0.0,48.0,38.56000137,"Bank of America Merrill Lynch, Citi, Jefferies, Piper Jaffray & Co",Common,2777.256291503906
ANET US,2014-03-31,2014-06-06,2014-03-31,2014-06-05,2014-06-06,ANET US,Arista Networks Inc,259.612,5.25,43.0,"IPO,Primary Share Offering,Emerging Growth Company",2767.91,28.4883728,27.9069767,"RBC Capital Markets, Deutsche Bank, Credit Suisse, Barclays, Bank of America Merrill Lynch, Citi, Morgan Stanley",Common,2767.91
VWR US,2014-06-24,2014-10-02,2014-06-24,2014-10-01,2014-10-02,VWR US,VWR Corp,616.533,25.532,21.0,"IPO,Primary Share Offering",2758.54,0.0,0.2380952388,"William Blair & Co LLC, Jefferies, Citi, Deutsche Bank, Barclays, Bank of America Merrill Lynch, JP Morgan, Goldman Sachs",Common,2758.54
BKU US,2010-10-29,2011-01-28,2010-10-29,2011-01-27,2011-01-28,BKU US,BankUnited Inc,900.45,29.0,27.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",2735.69,9.259259224,5.185184956,"Bank of America Merrill Lynch, Morgan Stanley, Deutsche Bank, Goldman Sachs",Common,2735.69
CAAP US,2017-12-06,2018-02-01,2017-12-06,2018-02-01,2018-02-01,CAAP US,Corp America Airports SA,485.714,28.5714,17.0,"IPO,Primary Share Offering,Secondary Share Offering",2720.37,0.0,-3.529411793,"Bank of America Merrill Lynch, Citi, Oppenheimer & Co, Goldman Sachs",Common,2720.37
PSN US,2019-04-12,2019-05-08,2019-04-12,2019-05-07,2019-05-08,PSN US,Parsons Corp,575.0,18.5185,27.0,"IPO,Primary Share Offering",2684.75,13.51851845,11.37036991,"Bank of America Merrill Lynch, Goldman Sachs, Morgan Stanley",Common,2684.75
CEPU US,2018-01-03,2018-02-02,2018-01-03,2018-02-01,2018-02-02,CEPU US,Central Puerto SA,299.491,15.151,16.5,"IPO,Secondary Share Offering,Dual Listing,Emerging Growth Company",0.0,0.0,7.272727489,"JP Morgan, Bank of America Merrill Lynch, Morgan Stanley",ADR,2679.8193825
DOOO US,2018-09-11,2018-09-14,2018-09-11,2018-09-14,2018-09-14,DOOO US,BRP Inc,408.9,8.7,47.0,"IPO,Secondary Share Offering,Dual Listing",0.0,0.0,-1.914893627,"TD Securities, Robert W Baird & Co, CIBC, Desjardins Capital Markets, Goldman Sachs, Morgan Stanley, National Bank Financial Inc, Wells Fargo, RBC Capital Markets, UBS, Citi, BMO Capital Markets",Common,2673.6134612279275
SFM US,2013-05-09,2013-08-01,2013-05-09,2013-07-31,2013-08-01,SFM US,Sprouts Farmers Market Inc,382.95,18.5,18.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed",2635.81,94.44444275,122.8333359,"Goldman Sachs, Credit Suisse, Bank of America Merrill Lynch",Common,2635.81
LKM US,2011-03-15,2011-05-05,2011-03-15,2011-05-04,2011-05-05,LKM US,Link Motion Inc,89.125,7.75,11.5,"IPO,Primary Share Offering,VC Backed,PE Backed",2634.75,0.0,-19.13043404,Piper Jaffray & Co,ADR,2634.75
LVGO US,2019-06-28,2019-07-25,2019-06-28,2019-07-24,2019-07-25,LVGO US,Livongo Health Inc,408.523,12.687,28.0,"IPO,Primary Share Offering,VC Backed,PE Backed,Emerging Growth Company,REG S",2599.06,44.67856979,36.07143021,"Morgan Stanley, Goldman Sachs, JP Morgan",Common,2599.06
TRVG US,2016-11-14,2016-12-16,2016-11-14,2016-12-16,2016-12-16,TRVG US,Trivago NV,330.293,26.1101,11.0,"IPO,Primary Share Offering,Secondary Share Offering,Emerging Growth Company",2586.3,1.818181872,7.727272511,"Deutsche Bank, Citi, Bank of America Merrill Lynch, Allen & Co, Morgan Stanley, Goldman Sachs, JP Morgan",ADR,2586.3
ZTS US,2012-08-13,2013-02-01,2012-08-13,2013-01-31,2013-02-01,ZTS US,Zoetis Inc,2574.39,86.1,26.0,"IPO,Secondary Share Offering",2574.39,21.15384674,19.26922989,"JP Morgan, Jefferies, Guggenheim Capital, Goldman Sachs, Deutsche Bank, Credit Suisse, Citi, Barclays, Morgan Stanley, Bank of America Merrill Lynch",Class A,2574.39
P US,2011-02-11,2011-06-15,2011-02-11,2011-06-14,2011-06-15,P US,Pandora Media LLC,240.544,14.684,16.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,PE Backed",2561.25,25.0,8.875,"Morgan Stanley, JP Morgan, Citi",Common,2561.25
FMSA US,2014-08-22,2014-10-03,2014-08-22,2014-10-03,2014-10-03,FMSA US,Fairmount Santrol Holdings Inc,400.0,25.0,16.0,"IPO,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",2558.56,3.4375,0.0,"RBC Capital Markets, KeyBanc Capital Markets, JP Morgan, Jefferies, Goldman Sachs, Barclays, Wells Fargo, Morgan Stanley",Common,2558.56
QIHU US,2011-03-14,2011-03-30,2011-03-14,2011-03-29,2011-03-30,QIHU US,Qihoo 360 Technology Co Ltd,201.948,12.1108,14.5,"IPO,Primary Share Offering,VC Backed,PE Backed",2557.5,86.20689392,134.4827576,"UBS, Citi",ADR,2557.5
DXF US,2010-11-04,2010-11-23,2010-11-04,2010-11-22,2010-11-23,DXF US,Dunxin Financial Holdings Ltd,88.0,8.0,11.0,"IPO,Primary Share Offering,Secondary Share Offering",2552.0,0.0,-9.545454979,Cowen & Co,ADR,2552.0
LOMA US,2017-09-05,2017-11-01,2017-09-05,2017-10-31,2017-11-01,LOMA US,Loma Negra Cia Industrial Arge,1096.87,50.2,19.0,"IPO,Primary Share Offering,Secondary Share Offering,Emerging Growth Company",0.0,13.94736862,12.3684206,"Morgan Stanley, Banco Itau BBA, Bank of America Merrill Lynch, Bradesco BBI SA, Citi, HSBC",ADR,2545.0331123
ESTC US,2018-09-05,2018-10-05,2018-09-05,2018-10-04,2018-10-05,ESTC US,Elastic NV,289.8,7.0,36.0,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",2539.54,94.44444275,94.44444275,"Goldman Sachs, JP Morgan, Barclays, RBC Capital Markets, Bank of America Merrill Lynch, Citi, Jefferies",Common,2539.54
CTLT US,2014-01-24,2014-07-31,2014-01-24,2014-07-31,2014-07-31,CTLT US,Catalent Inc,1001.94,42.5,20.5,"IPO,Primary Share Offering,PE Backed",2535.77,-2.439024448,-2.48780489,"Deutsche Bank, Jefferies, Goldman Sachs, Bank of America Merrill Lynch, JP Morgan, Morgan Stanley",Common,2535.77
SEAS US,2012-12-27,2013-04-19,2012-12-27,2013-04-18,2013-04-19,SEAS US,SeaWorld Entertainment Inc,807.3,26.0,27.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",2503.9,13.18518543,24.14814758,"Wells Fargo, Barclays, Bank of America Merrill Lynch, Citi, Goldman Sachs, JP Morgan",Common,2503.9
AL US,2011-01-14,2011-04-19,2011-01-14,2011-04-18,2011-04-19,AL US,Air Lease Corp,922.876,30.283,26.5,"IPO,Primary Share Offering,PE Backed,PE Exit",2486.94,2.830188751,5.471698284,"Barclays, Credit Suisse, FBR Capital Markets Corp, RBC Capital Markets, Wells Fargo, JP Morgan",Class A,2486.94
LTHM US,2018-08-27,2018-10-11,2018-08-27,2018-10-10,2018-10-11,LTHM US,Livent Corp,391.0,20.0,17.0,"IPO,Primary Share Offering,Emerging Growth Company",2482.0,-4.411764622,-0.1764705926,"Bank of America Merrill Lynch, Goldman Sachs, Credit Suisse",Common,2482.0
ADPT US,2019-05-30,2019-06-27,2019-05-30,2019-06-26,2019-06-27,ADPT US,Adaptive Biotechnologies Corp,345.0,15.0,20.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",2464.48,95.05000305,101.5,"JP Morgan, Goldman Sachs, Bank of America Merrill Lynch, Cowen & Co, Guggenheim Capital, William Blair & Co LLC, BTIG LLC",Common,2464.48
HUYA US,2018-04-09,2018-05-11,2018-04-09,2018-05-11,2018-05-11,HUYA US,HUYA Inc,207.0,15.0,12.0,"IPO,Primary Share Offering,Emerging Growth Company",2445.56,29.16666603,33.83333206,"Goldman Sachs, Credit Suisse, UBS",ADR,2445.56
VEEV US,2013-09-11,2013-10-16,2013-09-11,2013-10-15,2013-10-16,VEEV US,Veeva Systems Inc,300.034,13.045,20.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,Emerging Growth Company",2445.04,90.0,85.80000305,"Morgan Stanley, Deutsche Bank",Class A,2445.04
JELD US,2016-06-01,2017-01-27,2016-06-01,2017-01-26,2017-01-27,JELD US,JELD-WEN Holding Inc,661.25,25.0,23.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",2412.29,9.782608986,13.56521702,"Wells Fargo, Goldman Sachs, Bank of America Merrill Lynch, RBC Capital Markets, Deutsche Bank, JP Morgan, Credit Suisse, Barclays, Citi",Common,2412.29
FEYE US,2013-08-02,2013-09-20,2013-08-02,2013-09-19,2013-09-20,FEYE US,FireEye Inc,349.0,15.175,20.0,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",2394.92,101.5,80.0,"Morgan Stanley, Goldman Sachs, JP Morgan, Barclays, Bank of America Merrill Lynch, UBS",Common,2394.92
PQG US,2017-06-09,2017-09-29,2017-06-09,2017-09-28,2017-09-29,PQG US,PQ Group Holdings Inc,507.5,29.0,17.5,"IPO,Primary Share Offering,PE Backed",2366.35,-2.8571429249999998,-1.428571463,"Morgan Stanley, Goldman Sachs, Citi, Credit Suisse, Jefferies, JP Morgan, Deutsche Bank, KeyBanc Capital Markets",Common,2366.35
PF US,2012-12-19,2013-03-28,2012-12-19,2013-03-27,2013-03-28,PF US,Pinnacle Foods Inc,667.0,29.0,20.0,"IPO,Primary Share Offering,PE Backed",2343.42,11.30000019,11.05000019,"UBS, Morgan Stanley, Goldman Sachs, Credit Suisse, Barclays, Bank of America Merrill Lynch",Common,2343.42
AY US,2014-04-01,2014-06-13,2014-04-01,2014-06-12,2014-06-13,AY US,Atlantica Yield plc,828.747,24.85,29.0,"IPO,Primary Share Offering,Secondary Share Offering,Emerging Growth Company",2320.0,21.24137878,27.58620644,"Bank of America Merrill Lynch, Citi, Banco Santander, HSBC, RBC Capital Markets, Canaccord Genuity",Common,2320.0
APO US,2011-03-21,2011-03-30,2011-03-21,2011-03-29,2011-03-30,APO US,Apollo Global Management LLC,565.394,29.7576,19.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",2298.47,-1.578947425,-4.210526466,"Goldman Sachs, JP Morgan, Bank of America Merrill Lynch, Citi, Credit Suisse, Deutsche Bank, UBS",Class A,2298.47
DNKN US,2011-05-04,2011-07-27,2011-05-04,2011-07-26,2011-07-27,DNKN US,Dunkin' Brands Group Inc,486.163,22.25,19.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",2287.45,31.57894707,46.57894897,"Goldman Sachs, Bank of America Merrill Lynch, Morgan Stanley, JP Morgan, Barclays",Common,2287.45
SERV US,2014-03-24,2014-06-26,2014-03-24,2014-06-25,2014-06-26,SERV US,ServiceMaster Global Holdings,701.845,35.9,17.0,"IPO,Primary Share Offering,PE Backed",2263.21,2.647058725,5.588235378,"Credit Suisse, JP Morgan, Goldman Sachs, Morgan Stanley, Natixis, Bank of America Merrill Lynch, Jefferies, RBC Capital Markets",Common,2263.21
BV US,2018-05-30,2018-06-28,2018-05-30,2018-06-27,2018-06-28,BV US,BrightView Holdings Inc,538.89,21.3,22.0,"IPO,Primary Share Offering,PE Backed",2252.27,-3.409090996,-2.727272749,"Kohlberg Kravis Roberts & Co, RBC Capital Markets, Morgan Stanley, Mizuho Financial, Jefferies, Robert W Baird & Co, Macquarie, Credit Suisse, UBS, Goldman Sachs, JP Morgan",Common,2252.27
ARCO US,2011-03-25,2011-04-14,2011-03-25,2011-04-13,2011-04-14,ARCO US,Arcos Dorados Holdings Inc,1436.62,73.4842,17.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",2251.82,23.52941132,24.70588303,"JP Morgan, Morgan Stanley, Bank of America Merrill Lynch, Banco Itau BBA, Citi",Class A,2251.82
BJ US,2018-05-17,2018-06-28,2018-05-17,2018-06-27,2018-06-28,BJ US,BJ's Wholesale Club Holdings I,733.125,37.5,17.0,"IPO,Primary Share Offering,PE Backed",2242.86,25.0,29.41176414,"Wells Fargo, Jefferies, Citi, Morgan Stanley, JP Morgan, Bank of America Merrill Lynch, Goldman Sachs, Deutsche Bank",Common,2242.86
NTNX US,2015-12-22,2016-09-30,2015-12-22,2016-09-29,2016-09-30,NTNX US,Nutanix Inc,273.608,14.87,16.0,"IPO,Primary Share Offering,VC Backed,PE Backed,Emerging Growth Company",2232.06,65.625,131.25,"RBC Capital Markets, JP Morgan, Morgan Stanley, Goldman Sachs",Class A,2232.06
WP US,2011-11-10,2012-03-22,2011-11-10,2012-03-21,2012-03-22,WP US,Worldpay Inc,575.005,29.412,17.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",2201.14,11.76470566,14.70588207,"JP Morgan, Credit Suisse, Morgan Stanley, Deutsche Bank, Goldman Sachs",Class A,2201.14
NOW US,2012-03-30,2012-06-29,2012-03-30,2012-06-28,2012-06-29,NOW US,ServiceNow Inc,241.155,11.65,18.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,PE Backed",2189.52,31.94444466,36.66666794,"Morgan Stanley, Citi, Deutsche Bank, Barclays, Credit Suisse, UBS",Common,2189.52
LPI US,2011-08-24,2011-12-15,2011-08-24,2011-12-14,2011-12-15,LPI US,Laredo Petroleum Inc,342.125,17.5,17.0,"IPO,Primary Share Offering",2169.62,1.470588207,6.470588207,"Wells Fargo, Bank of America Merrill Lynch, Goldman Sachs, JP Morgan",Common,2169.62
AWAY US,2011-03-11,2011-06-29,2011-03-11,2011-06-28,2011-06-29,AWAY US,HomeAway Inc,248.4,8.0,27.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,PE Backed",2155.4,33.70370483,48.92592621,"Morgan Stanley, Deutsche Bank, Goldman Sachs, JP Morgan",Common,2155.4
MULE US,2017-02-17,2017-03-17,2017-02-17,2017-03-16,2017-03-17,MULE US,MuleSoft Inc,254.15,13.0,17.0,"IPO,Primary Share Offering,VC Backed,PE Backed,Emerging Growth Company",2141.86,42.64706039,45.58823395,"Goldman Sachs, JP Morgan, Bank of America Merrill Lynch, Allen & Co, Barclays, Jefferies",Class A,2141.86
NEXA US,2017-09-21,2017-10-27,2017-09-21,2017-10-26,2017-10-27,NEXA US,Nexa Resources SA,570.4,31.0,16.0,"IPO,Primary Share Offering,Secondary Share Offering,Dual Listing",2133.12,3.125,8.75,"Morgan Stanley, JP Morgan, Credit Suisse, BMO Capital Markets, Credicorp Capital, Bradesco BBI SA, Scotiabank, Citi, Bank of America Merrill Lynch",Common,2133.12
TENB US,2018-06-29,2018-07-26,2018-06-29,2018-07-26,2018-07-26,TENB US,Tenable Holdings Inc,288.305,10.9,23.0,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",2132.43,43.47826004,31.52173996,"Allen & Co, Morgan Stanley, JP Morgan, Deutsche Bank",Common,2132.43
MRC US,2012-01-12,2012-04-12,2012-01-12,2012-04-11,2012-04-12,MRC US,MRC Global Inc,477.273,22.7273,21.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",2131.23,-2.380952358,0.190476194,"Goldman Sachs, Barclays",Common,2131.23
VNTR US,2017-05-05,2017-08-03,2017-05-05,2017-08-02,2017-08-03,VNTR US,Venator Materials PLC,522.1,22.7,20.0,"IPO,Secondary Share Offering",2125.44,4.449999809,3.25,"RBC Capital Markets, UBS, Deutsche Bank, Barclays, JP Morgan, Bank of America Merrill Lynch, Citi, Goldman Sachs",Common,2125.44
AZUL US,2017-02-06,2017-04-11,2017-02-06,2017-04-10,2017-04-11,AZUL US,Azul SA,643.523,28.4799,20.06,"IPO,Primary Share Offering,Secondary Share Offering,Dual Listing",2124.35,9.67098999,7.178467274,"Citi, Deutsche Bank, Banco Itau BBA, Banco do Brasil SA, Banco Santander, JP Morgan, Raymond James & Associates",ADR,2124.35
