,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Type,Market cap,ADV,Bookrunner.1
CATE SS,2019-09-02,2019-09-03,2019-09-02,2019-09-03,CATE SS,Catena AB,137.481,3.9713,340.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1303.44,-1.764705896,-1.323529363,ABG Sundal Collier Asa,Stocks,1303.44,1.127424877148906,ABG Sundal Collier Asa
FER SM,2019-08-29,2019-09-02,2019-08-29,2019-09-02,FER SM,Ferrovial SA,198.843,7.0,25.7,"ADDL,Secondary Share Offering,Block,Private Placement",21021.0,1.556417227,2.295716763,Morgan Stanley,Stocks,21021.0,47.85400510782672,Morgan Stanley
ADYEN NA,2019-08-22,2019-08-23,2019-08-22,2019-08-23,ADYEN NA,Adyen NV,342.582,0.497,622.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Private Placement",20505.6,2.829581976,2.765273333,"Goldman Sachs, JP Morgan",Stocks,20505.6,66.56360196953601,"Goldman Sachs, JP Morgan"
PSPN SW,2019-08-19,2019-08-19,2019-08-19,2019-08-19,PSPN SW,PSP Swiss Property AG,59.44,0.45,129.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",6058.64,1.158301115,0.6177605987,Credit Suisse,Stocks,6058.64,17.751634384792553,Credit Suisse
MNDI LN,2019-08-01,2019-08-02,2019-08-01,2019-08-02,MNDI LN,Mondi PLC,94.3376,4.7277,1643.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",9689.65,-2.343274593,-3.012781382,UBS,Stocks,9689.65,52.15128940748468,UBS
AAL LN,2019-07-26,2019-07-26,2019-07-26,2019-07-26,AAL LN,Anglo American PLC,642.551,24.7094,2100.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",33610.3,-0.4523809552,0.6190476418,JP Morgan,Stocks,33610.3,85.79241184086425,JP Morgan
ELIS FP,2019-07-25,2019-07-26,2019-07-25,2019-07-26,ELIS FP,Elis SA,235.684,12.5254,16.9,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Private Placement",4148.81,-0.3550273478,0.769233048,Morgan Stanley,Stocks,4148.81,6.575219881496247,Morgan Stanley
BOSS GR,2019-07-23,2019-07-24,2019-07-23,2019-07-24,BOSS GR,HUGO BOSS AG,111.465,1.785,56.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Private Placement,REG S,Rule 144A",4393.8,3.75,4.178571224,Goldman Sachs,Stocks,4393.8,20.518431196622778,Goldman Sachs
HUR LN,2019-07-16,2019-07-17,2019-07-16,2019-07-17,HUR LN,Hurricane Energy PLC,63.5181,110.0,46.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1152.1,1.462365627,-1.634408593,"Morgan Stanley, Stifel",Stocks,1152.1,9.947361960246,"Morgan Stanley, Stifel"
AT1 GR,2019-07-15,2019-07-16,2019-07-15,2019-07-16,AT1 GR,Aroundtown SA,676.216,84.0,7.15,"ADDL,Primary Share Offering,Accelerated Bookbuild,Private Placement,REG S,Rule 144A",0.0,3.272725821,2.601397276,"Citi, Deutsche Bank, Goldman Sachs, Joh Berenberg Gossler & Co KG",Stocks,9269.073,20.9861998250078,"Citi, Deutsche Bank, Goldman Sachs, Joh Berenberg Gossler & Co KG"
ENOG LN,2019-07-10,2019-07-11,2019-07-10,2019-07-11,ENOG LN,Energean Oil & Gas PLC,85.0611,7.1556,950.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2102.68,2.210526228,3.263157845,"Morgan Stanley, Stifel",Stocks,2102.68,1.09196990605751,"Morgan Stanley, Stifel"
POLY LN,2019-07-09,2019-07-10,2019-07-09,2019-07-10,POLY LN,Polymetal International PLC,254.8,21.1573,966.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",5673.51,0.8074533939,0.1242236048,Goldman Sachs,Stocks,5673.51,15.19271836657008,Goldman Sachs
FBK IM,2019-07-08,2019-07-09,2019-07-08,2019-07-09,FBK IM,FinecoBank Banca Fineco SpA,1232.28,111.551,9.85,"ADDL,Secondary Share Offering,Accelerated Bookbuild",6722.93,3.147204161,4.720808029,"UniCredit, JP Morgan, UBS",Stocks,6722.93,45.703998389136004,"UniCredit, JP Morgan, UBS"
