,ITicker,Cusip,STicker,Name,Country,Currency_,OneTenth,SecType,ExchCtry,Exchange,Code
0,0000,87482X10,TLMR,TALMER BANCORP INC,NA,USD,0,S,NA,F,76305
1,0001,26878510,EPE,EP ENERGY CORP,NA,USD,,S,NA,A,76289
2,0004,02504D10,ACSF,AMERICAN CAPITAL SENIOR FLTG LTD,NA,USD,0,S,NA,F,76285
3,000R,14163310,CRCM,CARECOM INC,NA,USD,0,S,NA,A,76286
4,000V,28249U10,EIGR,EIGER BIOPHARMACEUTICALS INC,NA,USD,0,S,NA,F,76287
5,000Y,90400D10,RARE,ULTRAGENYX PHARMACEUTICAL INC,NA,USD,0,S,NA,S,76288
6,000Z,09072V40,BIOC,BIOCEPT INC,NA,USD,0,S,NA,H,76323
7,0011,G0702112,HELIQ,CHC GROUP LTD,NC,USD,0,S,NA,A,76316
8,0017,05211J10,ASPX,AUSPEX PHARMACEUTICALS INC,NA,USD,0,S,NA,F,76301
9,0018,28226B10,EGLTQ,EGALET CORP,NA,USD,0,S,NA,F,76293
10,001A,81776310,SESN,SESEN BIO INC,NA,USD,0,S,NA,F,76299
11,001C,04022120,ARGS,ARGOS THERAPEUTICS INC,NA,USD,0,S,NA,F,76302
12,001J,49926D10,KN,KNOWLES CORP,NA,USD,0,S,NA,A,76303
13,001K,45780R10,IBP,INSTALLED BUILDING PRODUCTS INC,NA,USD,0,S,NA,A,76306
14,001L,20602210,CNCE,CONCERT PHARMACEUTICALS INC,NA,USD,0,S,NA,F,76311
15,001M,45780L10,INGN,INOGEN INC,NA,USD,0,S,NA,S,76312
16,001N,74911910,QUOT,QUOTIENT TECHNOLOGY INC,NA,USD,0,S,NA,A,76313
17,001R,12640Y20,CSRE,CSR PLC,EX,USD,0,A,NA,S,76315
18,001X,75629F10,REPH,RECRO PHARMA INC,NA,USD,0,S,NA,H,76317
19,001Z,G5258J10,KING,KING DIGITAL ENTERTAINMENT PLC,EZ,USD,0,S,NA,A,76505
20,0024,46428739,ILF,ISHARES S & P LATIN AMERICA 40 I,,,,,,E,76322
21,002B,58471D10,MDNT,MOON RIVER STUDIOS INC,NA,USD,0,S,NA,U,76330
22,002G,14862Q10,CSLT,CASTLIGHT HEALTH INC,NA,USD,0,S,NA,A,76334
23,002J,70438V10,PCTY,PAYLOCITY HOLDING CORP,NA,USD,0,S,NA,S,76336
24,002L,02318Y10,AMBR,AMBER ROAD INC,NA,USD,0,S,NA,A,76340
25,002P,00212110,ATEN,A10 NETWORKS INC,NA,USD,0,S,NA,A,76344
26,002S,60786M10,MC,MOELIS  CO,NA,USD,0,S,NA,A,76348
27,002T,69007J10,OUT,OUTFRONT MEDIA INC,NA,USD,0,S,NA,A,76350
28,002U,94859610,WB,WEIBO CORP,FC,USD,0,A,NA,S,76351
29,002Y,G6583A10,NORD,NORD ANGLIA EDUCATION INC,FH,USD,0,S,NA,A,76360
30,0031,21887L10,CORI,CORIUM INTERNATIONAL INC,NA,USD,0,S,NA,F,76365
31,0033,68375Y10,OPWR,OPOWER INC,NA,USD,0,S,NA,A,76368
32,0039,50420D10,LQ,LA QUINTA,NA,USD,,S,NA,A,76373
33,003A,00548A10,ADMS,ADAMAS PHARMACEUTICALS INC,NA,USD,0,S,NA,F,76374
34,003D,09627J10,BRG,BLUEROCK RESIDNTL GRWTH REIT INC,NA,USD,0,S,NA,B,76379
35,003E,31154R10,FPI,FARMLAND PARTNERS INC,NA,USD,0,S,NA,A,76380
36,003F,89685A10,TRIV,TRIVASCULAR TECHNOLOGIES INC,NA,USD,0,S,NA,S,76383
37,003G,92847R10,VTL,VITAL THERAPIES INC,NA,USD,0,S,NA,S,76384
38,003H,70432V10,PAYC,PAYCOM SOFTWARE INC,NA,USD,0,S,NA,A,76386
39,003J,17858710,CIO,CITY OFFICE REIT INC,NC,USD,0,S,NA,A,76389
40,003K,71742Q10,PAHC,PHIBRO ANIMAL HEALTH CORP,NA,USD,,S,NA,F,76390
41,0040,G5559810,EVARF,LOMBARD MEDICAL INC,EX,USD,0,S,NA,F,76539
42,0041,78573M10,SABR,SABRE CORP,NA,USD,0,S,NA,S,76393
43,0042,Y2106R11,LPG,DORIAN LPG LTD,NA,USD,0,S,NA,A,76394
44,0044,Y8213L10,SEMI,SUNEDISON SEMI,NA,USD,,S,NA,S,76395
45,0045,70187710,PE,PARSLEY ENERGY INC,NA,USD,,S,NA,A,76396
46,004F,03990B10,ARES,ARES MANAGEMENT CORP,NA,USD,,S,NA,A,76401
47,004L,70324G10,PHM,PATIENT HOME MONITORING CORP,NC,CAD,0,S,NC,V,76406
48,004M,16307510,CMCM,CHEETAH MOBILE INC,FC,CNY,,A,NA,A,76411
49,004V,89977P10,TOUR,TUNIU CORP,FC,CNY,,A,NA,F,76416
50,004W,04041310,ANET,ARISTA NETWORKS INC,NA,USD,0,S,NA,A,76417
51,0051,98936J10,ZEN,ZENDESK INC,NA,USD,0,S,NA,A,76422
52,0055,89785L10,TRUE,TRUECAR INC,NA,USD,0,S,NA,S,76424
53,005H,42727J10,HRTG,HERITAGE INSURANCE HOLDINGS INC,NA,USD,0,S,NA,A,76427
54,005I,00847L10,AGRX,AGILE THERAPEUTICS INC,NA,USD,0,S,NA,F,76428
55,006E,76658A10,RIHT,RIGHTSCORP INC,NA,USD,0,S,NA,G,76443
56,006J,60739U20,MOBL,MOBILEIRON INC,NA,USD,0,S,NA,S,76445
57,006K,G0751N10,AY,ATLANTICA YIELD PLC,EX,USD,0,S,NA,S,76499
58,006M,04523Y10,ASPN,ASPEN AEROGELS INC,NA,USD,0,S,NA,A,76449
59,006Q,G6577210,NAO,NORDIC AMERICAN OFFSHORE LTD,NA,USD,0,S,NA,A,76450
60,006V,Q7362210,PARNF,PARNELL PHARMACEUTICALS HOLDINGS,AA,AUD,0,S,NA,F,76506
61,006W,15650430,CCS,CENTURY COMMUNITIES INC,NA,USD,0,S,NA,A,76454
62,006X,38268T10,GPRO,GOPRO INC,NA,USD,0,S,NA,S,76458
63,0070,75046920,RDUS,RADIUS HEALTH INC,NA,USD,0,S,NA,F,76462
64,0073,H8468910,TCPIF,TCP INTERNATIONAL HOLDINGS LTD,ES,USD,0,S,NA,A,76507
65,0074,00685510,ADPTQ,ADEPTUS HEALTH INC,NA,USD,0,S,NA,A,76464
66,0075,03209R10,AMPH,AMPHASTAR PHARMACEUTICALS INC,NA,USD,0,S,NA,S,76465
67,0076,57667T10,MTLS,MATERIALISE NV,EB,EUR,,A,NA,S,76466
68,0077,98419E10,XNET,XUNLEI LTD,FC,USD,0,A,NA,S,76468
69,0079,65341B10,NEP,NEXTERA ENERGY PARTNERS LP,NA,USD,,S,NA,A,76469
70,007W,G7114V10,PME,PINGTAN MARINE ENTERPRISE LTD,FC,USD,0,S,NA,H,76508
71,007X,81761R10,SERV,SERVICEMASTER GLOBAL HOLDINGS IN,NA,USD,0,S,NA,A,76482
72,0080,G6S01W10,PGNPQ,PARAGON OFFSHORE PLC,NA,USD,0,S,NA,A,76483
73,008A,78667J10,SAGE,SAGE THERAPEUTICS INC,NA,USD,0,S,NA,F,76493
74,008C,N5148811,MBBYF,MOBILEYE BV,FZ,USD,0,S,NA,A,76509
75,008I,00972G10,AKTX,AKARI THERAPEUTICS PLC,EX,USD,0,A,NA,H,76530
76,008J,89223110,TSQ,TOWNSQUARE MEDIA INC,NA,USD,,S,NA,A,76532
77,008U,L7296710,OEC,ORION ENGINEERED CARBONS SA,EL,USD,,S,NA,A,76540
78,008Y,1208311X,BUROF,BURCON NUTRASCIENCE CORP,NC,CAD,0,D,NA,F,76680
79,0090,30255G10,FCB,FCB FINANCIAL HOLDINGS INC,NA,USD,0,S,NA,A,76682
80,0097,39260X10,GNBC,GREEN BANCORP INC,NA,USD,0,S,NA,S,76686
81,0098,00790R10,WMS,ADVANCED DRAINAGE SYSTEMS INC,NA,USD,,S,NA,A,76692
82,009H,12591N10,BNK,C1 FINANCIAL INC,NA,USD,0,S,NA,A,76693
83,009J,68906L10,OTIC,OTONOMY INC,NA,USD,0,S,NA,S,76694
84,00A5,00770K20,AMTX,AEMETIS INC,NA,USD,0,S,NA,F,76705
85,00A8,33833F10,BARZ,5BARZ INTERNATIONAL INC,NA,USD,0,S,NA,U,76706
86,00AC,02917R10,HCT,AMERN RLTY CAP,NA,USD,,S,NA,S,76708
87,00AI,29272C10,WATT,ENERGOUS CORP,NA,USD,0,S,NA,H,76711
88,00AO,94419L10,W,WAYFAIR INC,NA,USD,0,S,NA,A,76717
89,00AP,76131D1X,QSR,RESTAURANT BRANDS INTERNATIONAL,NC,USD,,D,NA,A,76718
90,00AQ,,,STATIONDIGITAL,NA,USD,,S,NA,U,76719
91,00AW,60463E10,MGEN,MIRAGEN THERAPEUTICS INC,NA,USD,,S,NA,H,76722
92,00B1,67011N10,NVUS,NOVUS THERAPEUTICS INC,NA,USD,0,S,NA,F,76723
93,00B4,85769Y10,SDIG,STATIONDIGITAL,NA,USD,,S,NA,U,76726
94,00BG,M2682V10,CYBR,CYBERARK SOFTWARE LTD,FZ,USD,0,S,NA,S,76727
95,00BV,00030710,AAC,AAC HOLDINGS INC,NA,USD,,S,NA,A,76738
96,00BW,13089P10,CALA,CALITHERA BIOSCIENCES INC,NA,USD,0,S,NA,S,76739
97,00BX,30555Q10,FMSA,FAIRMOUNT SANTROL HOLDINGS INC,NA,USD,0,S,NA,A,76740
98,00BY,24983L10,DERM,DERMIRA INC,NA,USD,0,S,NA,S,76743
99,00C5,83190B10,SFS,SMART & FINAL STORES INC,NA,USD,0,S,NA,A,76752
100,00C6,49338L10,KEYS,KEYSIGHT TECHNOLOGIES INC,NA,USD,0,S,NA,A,76754
101,00C9,23833710,PLAY,DAVE  BUSTERS ENTERTAINMENT IN,NA,USD,,S,NA,S,76756
102,00CB,25745410,DM,DOMINION ENERGY MIDSTREAM PARTNE,NA,USD,,S,NA,A,76759
103,00CC,49428J10,KE,KIMBALL ELECTRONICS INC,NA,USD,0,S,NA,S,76758
104,00CL,19249H10,CHRS,COHERUS BIOSCIENCES INC,NA,USD,0,S,NA,F,76762
105,00CN,40053W10,AVAL,GRUPO AVAL SA,LL,USD,0,A,NA,A,76764
106,00D3,29357K10,ENVA,ENOVA INTERNATIONAL INC,NA,USD,0,S,NA,A,76771
107,00D4,64869110,SNR,NEW SENIOR INVESTMENT GROUP INC,NA,USD,0,S,NA,A,76772
108,00DA,31679P10,FSAM,FIFTH STREET AST,NA,USD,,S,NA,S,76775
109,00DB,09940610,BOOT,BOOT BARN HOLDINGS INC,NA,USD,0,S,NA,A,76776
110,00DD,85711T30,SNC,STATE NATIONAL COMPANIES INC,NA,USD,0,S,NA,S,76782
111,00DJ,13057Q20,CRC,CALIFORNIA RESOURCES CORP,NA,USD,0,S,NA,A,76786
112,00DL,03673L10,AM,ANTERO MIDSTREAM PARTNERS LP,NA,USD,0,S,NA,A,76788
113,00DV,51508J10,LMRK,LANDMARK INFRASTRUCTURE PARTNERS,NA,USD,,S,NA,F,76795
114,00DX,03283P10,ABCW,ANCHOR BANCORP WISCONSIN INC,NA,USD,0,S,NA,S,76800
115,00DZ,72202D10,PCI,PIMCO DYNAMIC CR,NA,USD,,S,NA,A,76805
116,00E0,Y6213410,NAP,NAVIOS MARITIME MIDSTREAM PARTNE,NA,USD,,S,NA,A,76806
117,00EB,86212110,STOR,STORE CAPITAL CORP,NA,USD,0,S,NA,A,76811
118,00EC,25381F10,DGLT,DIGILITI MONEY GROUP INC,NA,USD,0,S,NA,G,76812
119,00ED,45778V10,INNV,INNOVUS PHARMACEUTICALS INC,NA,USD,0,S,NA,U,76817
120,00EF,51829Y10,LATX,LATITUDE 360 INC,NA,USD,0,S,NA,U,76818
121,00EG,52603A10,LC,LENDINGCLUB CORP,NA,USD,0,S,NA,A,76820
122,00EH,03939W10,ARTH,ARCH THERAPEUTICS INC,NA,USD,0,S,NA,G,76821
123,00EI,N2094710,CNV,CNOVA,EN,EUR,,S,NA,S,76822
124,00EJ,29976510,EVTI,EVENTURE INTERACTIVE INC,NA,USD,0,S,NA,G,76823
125,00EX,04410410,AINC,ASHFORD INC,NA,USD,0,S,NA,B,76829
126,00EY,48205A10,JUNO,JUNO THERAPEUTICS INC,NA,USD,0,S,NA,S,76830
127,00FF,G5005R10,JRVR,JAMES RIVER GROUP HOLDINGS LTD,NB,USD,0,S,NA,S,76838
128,00FR,76281910,RMP,RICE MIDSTRM,NA,USD,,S,NA,A,76842
129,00GC,59116R10,MPG,METALDYNE PERFORMANCE GROUP INC,NA,USD,0,S,NA,A,76846
130,00GG,47117210,JASN,JASON INDUSTRIES INC,NA,USD,0,S,NA,H,76847
131,00HK,22190710,ICBK,COUNTY BANCORP INC,NA,USD,0,S,NA,F,76853
132,00HM,70338T10,PNTPQ,PATRIOT NATIONAL INC,NA,USD,0,S,NA,A,76856
133,00I0,10316T10,BOX,BOX INC,NA,USD,0,S,NA,A,76858
134,00I2,B3856410,EURN,EURONAV NV,EB,USD,,D,NA,A,76859
135,00I7,G7234P10,LENS,PRESBIA PLC,EZ,USD,0,S,NA,F,76863
136,00I9,04351P10,ASND,ASCENDIS PHARMA A/S,SD,EUR,,A,NA,S,76868
137,00IE,45781D10,INOV,INOVALON HOLDINGS INC,NA,USD,0,S,NA,S,76872
138,00II,04624N10,AST,ASTERIAS BIOTHERAPEUTICS INC,NA,USD,0,S,NA,B,76876
139,00JA,38983D30,AJX,GREAT AJAX CORP,NA,USD,0,S,NA,A,76881
140,00JB,62945V10,NVEE,NV5 GLOBAL INC,NA,USD,0,S,NA,H,76882
141,00JC,77313F10,RCKT,ROCKET PHARMACEUTICALS INC,NA,USD,0,S,NA,F,76884
142,00JH,9839507X,XPLR,XPLORE TECHNOLOGIES CORP,NC,USD,0,S,NA,H,76886
143,00JT,58933Y1X,MRK,"MERCK & CO., INC.",,,,,,A,76888
144,00JU,86627R10,SMMT,SUMMIT THERAPEUTICS PLC,EX,USD,0,A,NA,F,76889
145,00KV,86614U10,SUM,SUMMIT MATERIALS INC,NA,USD,,S,NA,A,76894
146,00L4,63546L10,NCOM,NATIONAL COMMERCE CORP,NA,USD,0,S,NA,S,76898
147,00LB,35352P10,FSB,FRANKLIN FINANCIAL NETWORK INC,NA,USD,0,S,NA,A,76905
148,00LK,29278A10,ENPT,ENERPULSE TECHNOLOGIES INC,NA,USD,0,S,NA,U,76913
149,00LU,M2361E11,CHEK,CHECK CAP LTD,FZ,USD,0,S,NA,H,76914
150,00LV,Y4671710,KEN,KENON HOLDINGS LTD,FS,USD,0,S,NA,A,76915
151,00MH,69924M10,PZG,PARAMOUNT GOLD NEVADA CORP,NA,USD,0,S,NA,B,76918
152,00MI,88883P10,TBRA,TOBIRA DEVELOPMENT INC,,,,,,F,76919
153,00MJ,04929Q10,ATLS,ATLAS ENERGY GROUP LLC,NA,USD,0,S,NA,A,76921
154,00NO,09215C10,BKI,BLACK KNIGHT INC,NA,USD,0,S,NA,A,76931
155,00O7,19716T10,CLCD,COLUCID PHARMACEUTICALS INC,NA,USD,0,S,NA,F,76935
156,00O8,00212010,LIFE,ATYR PHARMA INC,NA,USD,0,S,NA,S,76936
157,00O9,19459J10,COLL,COLLEGIUM PHARMACEUTICAL INC,NA,USD,0,S,NA,S,76937
158,00OE,89620X5X,TRIL,TRILLIUM THERAPEUTICS INC,NC,CAD,0,D,NA,H,76942
159,00OG,24549610,TACO,DEL TACO RESTAURANTS INC,NA,USD,0,S,NA,H,76943
160,00ON,33767E1X,FSV,FIRSTSERVICE CORP,NC,USD,,D,NA,S,76949
161,00PK,33812L10,FIT,FITBIT INC,NA,USD,0,S,NA,A,76954
162,00PM,92840H20,VTGN,VISTAGEN THERAPEUTICS INC,NA,USD,0,S,NA,H,76955
163,00PP,21873010,CVRS,CORINDUS VASCULAR ROBOTICS INC,NA,USD,0,S,NA,B,76960
164,00Q6,16385110,CC,CHEMOURS CO,NA,USD,0,S,NA,A,76969
165,00Q7,05614L10,BW,BABCOCK & WILCOX ENTERPRISES INC,NA,USD,0,S,NA,A,76970
166,00QF,29272U10,GI,ENDOCHOICE HOLDINGS INC,NA,USD,0,S,NA,A,76971
167,00QG,82509L10,SHOP,SHOPIFY INC,NC,USD,0,S,NA,A,76972
168,00QU,36473H10,GCI,GANNETT CO INC,NA,USD,0,S,NA,A,76979
169,00QV,89055F10,BLD,TOPBUILD CORP,NA,USD,0,S,NA,A,76980
170,00QZ,29272W10,ENR,ENERGIZER HOLDINGS INC,NA,USD,,S,NA,A,76984
171,00R2,44052W10,HZN,HORIZON GLOBAL CORP,NA,USD,0,S,NA,A,76986
172,00R6,97415510,WING,WINGSTOP INC,NA,USD,0,S,NA,S,76991
173,00RA,85238730,STAF,STAFFING 360 SOLUTIONS INC,NA,USD,0,S,NA,H,76993
174,00RC,98887G10,ZAIS,ZAIS GROUP HLDG,NA,USD,,S,NA,H,76996
175,00RJ,02083G10,ALPN,ALPINE IMMUNE SCIENCES INC,NA,USD,0,S,NA,F,77000
176,00RK,2065191X,CXRXF,ADVANZ PHARMA CORP,NC,USD,0,D,NA,S,77001
177,00RL,60255W10,MB,MINDBODY INC,NA,USD,0,S,NA,F,77003
178,00RO,15146110,CEN,CENTER COAST BROOKFIELD MLP & EN,NA,USD,0,S,NA,A,77007
179,00RP,64129H10,NML,NEUBERGER BERMAN,NA,USD,,S,NA,B,77008
180,00RQ,27829U10,ETX,EATON VANCE MITT,NA,USD,,S,NA,A,77009
181,00RU,81362J10,EYES,SECOND SIGHT MEDICAL PRODUCTS IN,NA,USD,0,S,NA,H,77010
182,00RX,14875P10,CATB,CATABASIS PHARMACEUTICALS INC,NA,USD,0,S,NA,F,77013
183,00RZ,01164210,ALRM,ALARM.COM HOLDINGS INC,NA,USD,0,S,NA,S,77014
184,00S8,90915J10,UFAB,UNIQUE FABRICATING INC,NA,USD,0,S,NA,B,77021
185,00S9,89400J10,TRU,TRANSUNION,NA,USD,0,S,NA,A,77023
186,00SG,65500B1X,HLTH,NOBILIS HEALTH CORP,NA,USD,0,D,NA,B,77028
187,00SZ,59870L10,MCRN,MILACRON HOLDINGS CORP,NA,USD,0,S,NA,A,77035
188,00T2,75342210,RPD,RAPID7 INC,NA,USD,0,S,NA,F,77040
189,00TA,87876P20,TGEN,TECOGEN INC,NA,USD,0,S,NA,H,77047
190,00TC,64052L10,NEOS,NEOS THERAPEUTICS INC,NA,USD,0,S,NA,F,77048
191,00TI,63016Q10,NK,NANTKWEST INC,NA,USD,0,S,NA,S,77052
192,00TR,88104M10,GLBL,TERRA GLOB,NA,USD,,S,NA,S,77054
193,00TU,00900T10,AIMT,AIMMUNE THERAPEUTICS INC,NA,USD,0,S,NA,S,77060
194,00TY,31985Q10,FCFP,FIRST COMMUNITY FINANCIAL PARTNE,NA,USD,0,S,NA,H,77062
195,00U5,M5364410,NTEC,INTEC PHARMA LTD,FZ,USD,0,D,NA,H,77070
196,00U6,00U600U6,XRS,TAL EDUCATION GROUP,,,,,,A,77069
197,00UB,44159310,HLI,HOULIHAN LOKEY INC,NA,USD,,S,NA,A,77066
198,00UC,37890U10,GBT,GLOBAL BLOOD THERAPEUTICS INC,NA,USD,0,S,NA,S,77067
199,00UW,39715T10,ELRN,GREENWOOD HALL,NA,USD,,S,NA,U,77078
200,00UX,78469X10,FLOW,SPX FLOW INC,NA,USD,0,S,NA,A,77079
201,00V4,62913F50,NIHD,NII HOLDINGS INC,NA,USD,0,S,NA,S,77086
202,00V5,71377A10,PFGC,PERFORMANCE FOOD GROUP CO,NA,USD,0,S,NA,A,77087
203,00VC,70975L10,PEN,PENUMBRA INC,NA,USD,0,S,NA,A,77090
204,00VL,88650V20,TIER,TIER REIT INC,NA,USD,0,S,NA,A,77095
205,00VN,74347W24,UCO,PROSHARES,NA,USD,,S,NA,E,77096
206,00VP,32008D10,FDC,FIRST DATA CORP,NA,USD,0,S,NA,A,77098
207,00VQ,N3167Y10,RACE,FERRARI NV,EI,EUR,,S,NA,A,77100
208,00VV,01309110,ABS,ALBERTSONS COMPANIES INC,NA,USD,,S,NA,A,77108
209,00VY,01748H10,ABTX,ALLEGIANCE BANCSHARES INC,NA,USD,0,S,NA,F,77109
210,00VZ,00461U10,ACRS,ACLARIS THERAPEUTICS INC,NA,USD,0,S,NA,S,77111
211,00W1,12634H20,PMTS,CPI CARD GROUP INC,NA,USD,0,S,NA,H,77113
212,00W3,66706L10,NRE,NORTHSTAR REALTY EUROPE CORP,NA,USD,0,S,NA,A,77114
213,00WB,30227H10,EXTN,EXTERRAN CORP,NA,USD,0,S,NA,A,77119
214,00WF,02589Y10,AFCO,AMERICAN FARMLAND CO,NA,USD,0,S,NA,B,77122
215,00WW,53521910,LIND,LINDBLAD EXPEDITIONS HOLDINGS IN,NA,USD,0,S,NA,H,77129
216,00WY,57665R10,MTCH,MATCH GROUP INC,NA,USD,0,S,NA,S,77130
217,00XB,45781U10,INST,INSTRUCTURE INC,NA,USD,0,S,NA,A,77138
218,00XO,98415E30,XCOMQ,XTERA COMMUNICATIONS INC,NA,USD,0,S,NA,F,77146
219,00XR,05464T10,AXSM,AXSOME THERAPEUTICS INC,NA,USD,0,S,NA,H,77147
220,00YE,05351W10,AGR,AVANGRID INC,NA,USD,0,S,NA,A,77151
221,00YO,48205B10,JP,JUPAI HOLDINGS LTD,FC,USD,0,A,NA,A,77154
222,00YT,G0624210,TEAM,ATLASSIAN CORP PLC,NA,USD,0,S,NA,S,77155
223,00Z6,65406E10,NCBS,NICOLET BANKSHARES INC,NA,USD,,S,NA,G,77160
224,010U,94909010,WBT,WELBILT INC,NA,USD,0,S,NA,A,77170
225,010V,74373B10,PTI,PROTEOSTASIS THERAPEUTICS INC,NA,USD,0,S,NA,F,77172
226,011Y,22101510,CRVS,CORVUS PHARMACEUTICALS INC,NA,USD,0,S,NA,F,77185
227,0124,81752R10,SRG,SERITAGE GROWTH PROPERTIES,NA,USD,0,S,NA,A,77188
228,012B,74967R10,RMR,RMR GROUP INC,NA,USD,0,S,NA,H,77191
229,012D,05491G10,BATS,BATS GLOBAL MARKETS INC,NA,USD,0,S,NA,V,77192
230,012R,02922710,ARA,AMERICAN RENAL ASSOCIATES HOLDIN,NA,USD,0,S,NA,A,77201
231,0133,75700L10,RRR,RED ROCK RESORTS INC,NA,USD,0,S,NA,S,77212
232,013E,82982L10,SITE,SITEONE LANDSCAPE SUPPLY INC,NA,USD,0,S,NA,A,77218
233,013S,33583410,FNWB,FIRST NORTHWEST,NA,USD,,S,NA,F,77224
234,013T,59774210,MSBI,MIDLAND STATES BANCORP INC,NA,USD,0,S,NA,S,77225
235,013U,40054A10,SUPV,GRUPO SUPERVIELLE SA,LA,USD,0,A,NA,A,77229
236,013Z,22164K10,COTV,COTIVITI HOLDINGS INC,NA,USD,0,S,NA,A,77233
237,014G,63010410,NH,NANTHEALTH INC,NA,USD,0,S,NA,S,77237
238,014I,G9722310,WINS,WINS FIN HLDG,FC,CNY,,S,NA,H,77239
239,014N,42704L10,HRI,HERC HOLDINGS INC,NA,USD,0,S,NA,A,77243
240,0153,16954L10,COE,CHINA ONLINE EDUCATION GROUP,FC,CNY,0,A,NA,A,77246
241,015B,69911U40,PBNC,PARAGON COMMERCIAL CORP,NA,USD,0,S,NA,H,77248
242,015F,85570W1X,TSG,STARS GROUP INC,NC,USD,0,D,NA,S,77249
243,015G,90138F10,TWLO,TWILIO INC,NA,USD,0,S,NA,A,77258
244,016T,14141X10,CCN,CARDCONNECT CORP,NA,USD,0,S,NA,H,77269
245,016U,45320410,PI,IMPINJ INC,NA,USD,0,S,NA,S,77270
246,016W,05070R10,BOLD,AUDENTES THERAPEUTICS INC,NA,USD,0,S,NA,F,77271
247,017N,04650Y10,HOME,AT HOME GROUP INC,NA,USD,0,S,NA,A,77282
248,017Q,36870A10,GEMP,GEMPHIRE THERAPEUTICS INC,NA,USD,0,S,NA,F,77283
249,017Z,74366E10,PTGX,PROTAGONIST THERAPEUTICS INC,NA,USD,0,S,NA,F,77284
250,0180,58506Q10,MEDP,MEDPACE HOLDINGS INC,NA,USD,0,S,NA,S,77285
251,0186,91914N20,VLRX,VALERITAS HOLDINGS INC,NA,USD,0,S,NA,H,77289
252,018W,14070T10,CSTR,CAPSTAR FINANCIAL HOLDINGS INC,NA,USD,0,S,NA,S,77294
253,019B,67059N10,NTNX,NUTANIX INC,NA,USD,0,S,NA,S,77297
254,019G,66988N10,NOVN,NOVAN INC,NA,USD,0,S,NA,F,77303
255,019I,26856L10,ELF,E.L.F. BEAUTY INC,NA,USD,0,S,NA,A,77304
256,019L,03835C10,APTI,APPTIO INC,NA,USD,0,S,NA,F,77305
257,019M,30257X10,FBK,FB FINANCIAL CORP,NA,USD,0,S,NA,A,77309
258,019Y,58409L30,MRT,MEDEQUITIES REALTY TRUST INC,NA,USD,0,S,NA,A,77310
259,01A0,G0772R20,NTB,BANK OF N.T. BUTTERFIELD & SON L,NB,USD,0,S,NA,A,77314
260,01A6,25787G10,DFIN,DONNELLEY FINANCIAL SOLUTIONS IN,NA,USD,0,S,NA,A,77313
261,01A9,22266L10,COUP,COUPA SOFTWARE INC,NA,USD,0,S,NA,S,77315
262,01AB,G0084W10,ADNT,ADIENT PLC,EZ,USD,0,S,NA,A,77317
263,01AC,00509810,GOLF,ACUSHNET HOLDINGS CORP,NA,USD,0,S,NA,A,77318
264,01AF,01387210,AA,ALCOA CORP,NA,USD,0,S,NA,A,77322
265,01AR,16965P20,IMOS,CHIPMOS TECHNOLOGIES INC,FA,USD,0,A,NA,S,77329
266,01BH,36165L10,GDS,GDS HOLDINGS LTD,FC,CNY,0,A,NA,F,77341
267,01BP,83191H10,SND,SMART SAND INC,NA,USD,0,S,NA,S,77342
268,01CQ,86777J10,SBCP,SUNSHINE BANCORP INC,NA,USD,0,S,NA,H,77348
269,01D7,60855D10,MBRX,MOLECULIN BIOTECH INC,NA,USD,0,S,NA,H,77354
270,01DR,G0684D10,ATH,ATHENE HOLDING LTD,NB,USD,0,S,NA,A,77361
271,01E5,21241B10,CTRA,CONTURA ENERGY INC,NA,USD,0,S,NA,U,77366
272,01EC,88675R10,TIG,TIGENIX NV,EB,EUR,0,A,NA,S,77367
273,01EE,Y4105310,INSW,INTERNATIONAL SEAWAYS INC,NA,USD,0,S,NA,A,77368
274,01FC,47009K10,JAG,JAGGED PEAK ENERGY INC,NA,USD,0,S,NA,A,77374
275,01FE,48669A10,FRAC,KEANE GROUP INC,NA,USD,0,S,NA,A,77376
276,01FQ,83304A10,SNAP,SNAP INC,NA,USD,0,S,NA,A,77382
277,01FR,71646J1X,PZE,PETROBRAS ARGENT,LA,ARS,,A,NA,A,77383
278,01G1,75134P30,METC,RAMACO RESOURCES INC,NA,USD,0,S,NA,S,77386
279,01GF,12674R10,CJ,C&J ENERGY SERVICES INC,NA,USD,0,S,NA,A,77391
280,01GW,N7054410,PLYA,PLAYA HOTELS & RESORTS NV,EN,USD,,S,NA,S,77395
281,01H2,3495531X,FTS,FORTIS INCORPORATED,NC,CAD,0,D,NA,A,77399
282,01HJ,L0223L10,ARD,ARDAGH GROUP SA,EL,USD,,S,NA,A,77405
283,01HP,74347M10,PUMP,PROPETRO HOLDING CORP,NA,USD,0,S,NA,A,77406
284,01HR,G1083010,BYSI,BEYONDSPRING INC,NA,USD,0,S,NA,H,77408
285,01IF,93627C10,HCC,WARRIOR MET COAL INC,NA,USD,0,S,NA,A,77417
286,01IN,69324R10,PCSB,PCSB FINANCIAL CORP,NA,USD,0,S,NA,H,77418
287,01J8,G6455X10,NETS,NETSHOES (CAYMAN) LTD,LB,BRL,,S,NA,A,77425
288,01JE,12739A10,CADE,CADENCE BANCORP,NA,USD,0,S,NA,A,77427
