,ITicker,Cusip,STicker,Name,Country,Currency_,OneTenth,SecType,ExchCtry,Exchange,Code
12448,IAAI,45787510,IAAI,INSURANCE AUTO AUCTIONS INC,NA,USD,0,S,NA,F,6321
12449,IAC,46360610,IAC,IRVINE APARTMENT COMMUNITIES,NA,USD,0,S,NA,A,6322
12450,IACE,62482P10,MRAL,IEG HOLDINGS COR,NA,USD,,S,NA,U,66890
12451,IACO,45669P10,IACO,INFORMATION ADVANTAGE INC.,NA,USD,0,S,NA,F,6323
12452,IACP,02261D10,ALYS,ALYSIS TECHNOLOGIES INC,NA,USD,0,S,NA,U,6324
12453,IACX,74316J47,IACOX,CONGRESS SMD CR,NA,USD,,U,NA,I,76027
12454,IAD,78375P10,RYI,RYERSON INC,NA,USD,0,S,NA,A,6325
12455,IAE,92912J10,IAE,VOYA ASIA,NA,USD,,U,NA,A,74266
12456,IAF,00301110,IAF,ABERDEEN AUSTRAL,NA,USD,,S,NA,B,70576
12457,IAGX,45247F10,IAGX,IMAGENETIX,NA,USD,,S,NA,U,68870
12458,IAHT,46060A10,IAH,INTERNET ARCHITE,NA,USD,,U,NA,B,70577
12459,IAI,46428879,IAI,ISHARES US,NA,USD,,U,NA,A,55203
12460,IAIA,46115N10,IAIA,INTIER AUTOMOTIVE INC,NC,USD,0,S,NA,F,14314
12461,IAIC,45669610,IAIC,INFORMATION ANALYSIS INC,NA,USD,0,S,NA,U,6326
12462,IAIN,W4600Y10,IAINF,INTENTIA INTL,SS,SEK,,D,NA,U,72908
12463,IAIS,45886010,IAIS,INTERNATIONAL AIRCRAFT INVESTORS,NA,USD,0,S,NA,H,6327
12464,IAL,45888410,IAL,INTERNATIONAL ALUM CORP,NA,USD,0,S,NA,A,6328
12465,IAM,02206930,IAM,AHMSA (ALTOS HORNOS DE MEXICO),LM,USD,0,A,NA,A,6329
12466,IAMK,22141120,COSG,COSMOS GROUP,FH,HKD,,S,NA,U,70578
12467,IAN,45890H10,IAN,INTER ATLANTIC F,NA,USD,,S,NA,B,70579
12468,IANR,82861P10,SMOM,SIMCOE MINING RE,NA,USD,,S,NA,U,70580
12469,IAO,44920E20,IAGI,ASURA DEVELOPMENT GROUP INC,NA,USD,,S,NA,G,68285
12470,IAQG,G2238410,CDLVF,CNC DEVELOPMENT,NA,USD,,S,NA,U,66208
12471,IAR,86844710,SPMD,SUPERMEDIA INC,NA,USD,0,S,NA,S,44041
12472,IART,45798520,IART,INTEGRA LIFESCIENCES HOLDINGS CO,NA,USD,0,S,NA,S,6330
12473,IAS1,G0535411,IASIZ,ASIACONTENT.COM,FC,USD,0,S,NA,U,6331
12474,IASG,45886520,ILAS,INTERNATIONAL AIRL SUPPORT GROUP,NA,USD,0,S,NA,U,6332
12475,IASI,12480510,CBZ,CBIZ INC,NA,USD,0,S,NA,A,6333
12476,IASR,45890M10,IASG,INTEGRATED ALARM SERVICES GROUP,NA,USD,0,S,NA,F,14800
12477,IATV,00088E10,IATV,ACTV INC,NA,USD,,S,NA,F,6334
12478,IAU,46428510,IAU,ISHARES GOLD,NA,USD,,U,NA,B,72909
12479,IAWK,45072L10,IAWK,IASIAWORKS,NA,USD,0,S,NA,U,6335
12480,IAX,45885E20,IAX,INTERNATIONAL A,NA,USD,,S,NA,B,68701
12481,IB06,45072210,IAHL,IAHL CORP,NA,USD,,S,NA,U,55218
12482,IBA,45646310,IBA,INDUSTRIAS BACHOCO SAB DE CV,LM,USD,0,A,NA,A,6336
12483,IBAN,45255610,IMP,IMPERIAL BANCORP,NA,USD,0,S,NA,A,6337
12484,IBAS,45073220,IBAS,IBASIS INC,NA,USD,0,S,NA,F,6338
12485,IBBD,45094410,IBBD,IBROADBAND,NA,USD,,S,NA,U,72103
12486,IBBI,46428755,IBB,ISHARES NASDAQ B,NA,USD,,S,NA,F,72910
12487,IBC,46072310,IBC,INTRSTATE BAKERS,NA,USD,0,S,NA,X,6339
12488,IBCA,46092710,IBCA,INTERVEST BANCSHARES CORP,NA,USD,0,S,NA,S,14524
12489,IBCC,46072H10,IBCIQ,INTERSTATE BAKERIES CORP DEL,NA,USD,0,S,NA,U,6340
12490,IBCL,45912U10,IBCL,INTL BIOCHEMICAL,NA,USD,,S,NA,U,72911
12491,IBCP,45383860,IBCP,INDEPENDENT BANK CORP MICH,NA,USD,0,S,NA,S,6341
12492,IBCS,21750M10,CPRKQ,COPPER KING MINI,NA,USD,,S,NA,U,55328
12493,IBDI,45840410,IBDI,INTERACTIVE BRAN,NA,USD,,S,NA,U,55156
12494,IBDR,45073710,IBDRY,IBERDROLA,EE,USD,,A,NA,U,73737
12495,IBEM,45073P40,IBEMQ,IBEAM BROADCASTING CORP,NA,USD,0,S,NA,U,6342
12496,IBFL,45382110,IBFL,INDEPENDENT BANC,NA,USD,,S,NA,G,74805
12497,IBGH,74766W10,QUBT,QUANTUM,NA,USD,,S,NA,U,74118
12498,IBGI,45383910,IBGI,INDPT BKGP VT,NA,USD,,S,NA,H,6343
12499,IBHV,G4821Q10,IBHVF,INTL BRIQUETTES,LV,VES,,D,NA,U,67351
12500,IBI,46115610,IBI,INTIMATE BRANDS,NA,USD,,S,NA,A,6344
12501,IBIB,45467010,IBBI,INDIANA BUSINESS,NA,USD,,S,NA,U,66062
12502,IBIC,45874310,IBI,INTERLINE BRANDS INC,NA,USD,0,S,NA,A,15389
12503,IBII,36157420,GDTK,GDT TEK INC,NA,USD,,S,NA,U,66892
12504,IBIS,45090910,IBIS,IBIS TECHNOLOGY CORPORATION,NA,USD,0,S,NA,F,6345
12505,IBIX,90261L10,UBIX,UBICS INC.,NA,USD,0,S,NA,U,6346
12506,IBK,02449030,ABNTQ,AMERICAN BANKNOTE CORP,NA,USD,0,S,NA,U,6347
12507,IBK1,45384120,IBK,INDEPENDENT BANKSHARES INC,NA,USD,0,S,NA,B,6348
12508,IBKR,45841N10,IBKR,INTERACTIVE BROKERS GROUP INC,NA,USD,0,S,NA,S,60357
12509,IBKT,45639810,IBKT,INDL VALLY BK+TR,NA,USD,0,S,NA,X,6349
