,,,Announced Date,Pricing date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Market cap,ADV,listing_price,announce_price,discount,firstday_return,Broker_broad,Broker_core,abs_return,rel_return,holding,size,abs_pnl,rel_pnl
GTLS US,2019-06-10,2019-06-12,2019-06-10,2019-06-11,2019-06-12,GTLS US,Chart Industries Inc,295.837,3.5,73.5,"ADDL,Primary Share Offering,Accelerated Bookbuild",2628.21,2.775510311,1.959183693,"['Wells Fargo', 'Evercore Partners Inc', 'Morgan Stanley', 'Credit Suisse', 'JP Morgan']",2628.21,33.42824341764444,74.7366,80.29,-0.0845684394071492,0.016824489795918218,True,True,0.016824489795918218,0.01873453482536047,1,5000.0,84.1224489795911,93.67267412680236
BJ US,2019-06-05,2019-06-06,2019-06-05,2019-06-05,2019-06-06,BJ US,BJ's Wholesale Club Holdings I,431.375,17.5,24.65,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",3430.02,-1.01419723,-1.217036963,['Goldman Sachs'],3430.02,29.990545850600004,24.4915,24.74,-0.003637833468067897,-0.006430020283975657,True,True,-0.006430020283975657,-0.008939294441875023,1,5000.0,-32.15010141987828,-44.696472209375116
FRPT US,2019-06-05,2019-06-06,2019-06-05,2019-06-05,2019-06-06,FRPT US,Freshpet Inc,154.027,3.2947,46.75,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1677.22,-1.069518685,1.946524024,['Goldman Sachs'],1677.22,10.906707070311112,47.6419,46.89,-0.00298571123907021,0.01907807486631019,True,True,0.01907807486631019,0.016568800708410825,1,2181.3414140622226,41.61579480646202,36.14221116660002
EQH US,2019-06-04,2019-06-05,2019-06-04,2019-06-04,2019-06-05,EQH US,AXA Equitable Holdings Inc,963.7,40.0,20.95,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",10289.3,-3.641715693e-06,-0.2386671156,"['Barclays', 'Morgan Stanley']",10289.3,56.30674584017779,20.9018,21.0,-0.0023809523809523725,-0.002300715990453339,True,True,-0.002300715990453339,-0.006213764118795595,1,5000.0,-11.503579952266696,-31.068820593977975
NWN US,2019-06-04,2019-06-05,2019-06-04,2019-06-04,2019-06-05,NWN US,Northwest Natural Holding Co,96.3125,1.25,67.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",2038.19,-0.149253726,0.0,"['JP Morgan', 'RBC Capital Markets', 'Wells Fargo']",2038.19,8.283149114777776,67.1397,70.09,-0.04408617491796263,0.0020850746268656906,True,True,0.0020850746268656906,-0.0018279735014765652,1,1656.6298229555555,3.45419680995363,-3.028275418118569
AVLR US,2019-06-04,2019-06-06,2019-06-04,2019-06-05,2019-06-06,AVLR US,Avalara Inc,286.9,3.5948,69.4,"ADDL,Primary Share Offering,VC Backed,PE Backed,Accelerated Bookbuild,Emerging Growth Company",5100.78,1.296827793,4.827086926,"['Goldman Sachs', 'Bank of America Merrill Lynch', 'Morgan Stanley']",5100.78,75.50916450000004,70.9455,65.7,0.05631659056316596,0.022269452449567684,True,True,0.022269452449567684,0.019760178291668318,1,5000.0,111.34726224783842,98.8008914583416
QTWO US,2019-06-04,2019-06-06,2019-06-04,2019-06-06,2019-06-06,QTWO US,Q2 Holdings Inc,210.842,2.638,69.5,"ADDL,Primary Share Offering,Secondary Share Offering,Accelerated Bookbuild",3249.38,2.014388561,-1.194244623,"['Morgan Stanley', 'JP Morgan', 'Stifel']",3249.38,27.48719234839999,69.8004,72.84,-0.04585392641405828,0.004322302158273228,True,True,0.004322302158273228,0.001813028000373862,1,4216.84,18.22645663309288,7.645248993096516
ORTX US,2019-06-03,2019-06-06,2019-06-03,2019-06-05,2019-06-06,ORTX US,Orchard Therapeutics plc,128.25,9.0,14.25,"ADDL,Primary Share Offering,PE Backed,Accelerated Bookbuild,Emerging Growth Company",1351.85,0.4210526347,2.105263233,"['JP Morgan', 'Goldman Sachs', 'Cowen & Co', 'Barclays']",1351.85,2.694709546022222,14.3051,19.09,-0.25353588266107907,0.003866666666666685,True,True,0.003866666666666685,0.0013573925087673189,1,538.9419092044444,2.0839087155905283,0.7315557102148694
ES US,2019-05-30,2019-05-31,2019-05-30,2019-05-30,2019-05-31,ES US,Eversource Energy,1300.65,15.6,72.5,"ADDL,Primary Share Offering,Accelerated Bookbuild,Fwd Sales Agreement",24146.9,0.1241379306,1.8482759,"['Wells Fargo', 'Citi', 'Goldman Sachs', 'Barclays']",24146.9,95.95920227226668,73.2216,73.17,-0.009156758234248996,0.009953103448275824,True,True,0.009953103448275824,0.021105011708444366,1,5000.0,49.76551724137912,105.52505854222183
MYOV US,2019-05-29,2019-05-31,2019-05-29,2019-05-31,2019-05-31,MYOV US,Myovant Sciences Ltd,143.75,15.1515,8.25,"ADDL,Primary Share Offering,Accelerated Bookbuild",738.224,12.84848499,19.15151596,"['JP Morgan', 'Goldman Sachs', 'Cowen & Co', 'Evercore Partners Inc']",738.224,3.1522911917333327,9.4514,12.01,-0.3130724396336386,0.14562424242424243,True,True,0.14562424242424243,0.15677615068441098,1,630.4582383466666,91.81000333935579,98.84081577526528
FOLD US,2019-05-29,2019-05-31,2019-05-29,2019-05-30,2019-05-31,FOLD US,Amicus Therapeutics Inc,201.251,16.2791,10.75,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,5.023255825,4.837209225,"['Goldman Sachs', 'SVB Leerink LLC', 'JP Morgan']",2799.9702,33.26311361866668,11.2566,12.15,-0.1152263374485597,0.04712558139534884,True,True,0.04712558139534884,0.05827748965551738,1,4025.020000000001,189.68140762790702,234.5680614132506
CDAY US,2019-05-21,2019-05-22,2019-05-21,2019-05-21,2019-05-22,CDAY US,Ceridian HCM Holding Inc,404.0,8.0,50.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Emerging Growth Company",7112.42,-0.118811883,1.089108944,['Goldman Sachs'],7112.42,25.877533970499996,50.9399,51.2,-0.013671875,0.00871089108910894,True,True,0.00871089108910894,0.011215741054217077,1,5000.0,43.554455445544704,56.07870527108538
